,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
0,"[2, 3]",0.9177852348993288,-0.08441215702902777,0.07747223136724528
1,"[2, 3, 4]",0.6869127516778524,-0.06620831701241167,0.04547933722295527
2,"[2, 3, 4, 5]",0.6087248322147651,-0.03892695927891911,0.023695806755691027
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5328859060402684,0.02598667265239757,0.013847931601344744
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5469798657718121,0.021660003811269077,0.0118475859773049
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5577181208053691,0.01730588322391935,0.009651804670521461
3,"[2, 3, 4, 5, 6]",0.5751677852348993,-0.015331659975765605,0.008818276912235653
5,"[2, 3, 4, 5, 6, 7, 8]",0.5620805369127517,0.010891301581993834,0.006121788640885796
4,"[2, 3, 4, 5, 6, 7]",0.5644295302013422,0.0002061531495186203,0.00011635892533232191
