,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
0,"[19, 27]",0.5246913580246914,0,0,0,0,0,0,0.47530864197530864,0.2493903368388965
1,"[19, 27, 28]",0.4506172839506173,0,0,0,0,0,0,0.47530864197530864,0.21418228928516994
2,"[19, 27, 28, 29]",0.4506172839506173,0,0,0,0,0,0,0.47530864197530864,0.21418228928516994
3,"[19, 27, 28, 29, 30]",0.4506172839506173,0,0,0,0,0,0,0.47530864197530864,0.21418228928516994
4,"[19, 27, 28, 29, 30, 31]",0.4506172839506173,0,0,0,0,0,0,0.47530864197530864,0.21418228928516994
