,Pattern,Relative SUP,global_interest_11,global_criterion_11,global_interest_24,global_criterion_24,global_interest_28,global_criterion_28,global_interest_32,global_criterion_32
0,"[9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1,"[9, 10, 11]",0.4682926829268293,0.0,0.0,0.34154810298102983,0.15994447749355545,0.3138550135501355,0.14697600634542932,0.2861619241192412,0.13400753519730318
2,"[9, 10, 11, 12]",0.3544715447154472,0.0,0.0,0.5478108450809278,0.194183356467711,0.5033937495338257,0.1784387599973561,0.4589766539867233,0.1626941635270011
3,"[9, 10, 11, 12, 13]",0.34471544715447155,0.0,0.0,0.5671115201718055,0.19549210126247607,0.5207470470931124,0.17950955119307288,0.47909955514649477,0.16515301738383234
4,"[9, 10, 11, 12, 13, 14]",0.34146341463414637,0.0,0.0,0.57061556329849,0.19484433868728926,0.5235772357723578,0.17878247075153683,0.48130081300813005,0.16434661907594686
5,"[9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,0.0,0.0,0.57061556329849,0.19484433868728926,0.5235772357723578,0.17878247075153683,0.48130081300813005,0.16434661907594686
6,"[9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,0.0,0.0,0.57061556329849,0.19484433868728926,0.5235772357723578,0.17878247075153683,0.48130081300813005,0.16434661907594686
7,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,0.0,0.0,0.6096347530639485,0.19924648026968075,0.5593981312947458,0.18282768193535595,0.5141366339036526,0.1680348998611938
8,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.27479674796747966,0.0,0.0,0.6045124356569009,0.16611805142441669,0.5460624428729495,0.15005618348866415,0.5053639293789389,0.13887236433339947
