,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
0,"[2, 3]",0.975609756097561,-0.1463931361876135,0.1428225718903546
1,"[2, 3, 4]",0.6455284552845528,-0.08677883721087058,0.05601820873612296
2,"[2, 3, 4, 5]",0.6439024390243903,-0.08664499510361506,0.05579092367647409
3,"[2, 3, 4, 5, 6]",0.5658536585365853,-0.06232226559683751,0.03526528199625927
4,"[2, 3, 4, 5, 6, 7]",0.5642276422764227,-0.050896384622970484,0.028717147096212613
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.05588408533441562,0.026170108254165367
5,"[2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,-0.03862995075822147,0.02123076968500627
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,-0.03897266113543037,0.021038899995061595
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,-0.03164906027090229,0.017394117677341423
