,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
5,"[11, 12, 13, 14, 15, 16, 17]",0.6979166666666666,0,0,0,0,0,0,0.22797470978441137,0.1591073495370371
2,"[11, 12, 13, 14]",0.7291666666666666,0,0,0,0,0,0,0.19513888888888886,0.1422887731481481
3,"[11, 12, 13, 14, 15]",0.7291666666666666,0,0,0,0,0,0,0.19513888888888886,0.1422887731481481
4,"[11, 12, 13, 14, 15, 16]",0.7291666666666666,0,0,0,0,0,0,0.19513888888888886,0.1422887731481481
1,"[11, 12, 13]",0.7361111111111112,0,0,0,0,0,0,0.1929376310272536,0.14202353395061723
7,"[11, 12, 13, 14, 15, 16, 17, 18, 19]",0.5798611111111112,0,0,0,0,0,0,0.2282726214238191,0.1323664158950618
8,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5798611111111112,0,0,0,0,0,0,0.2282726214238191,0.1323664158950618
0,"[11, 12]",0.7569444444444444,0,0,0,0,0,0,0.17281472986748214,0.13081114969135801
6,"[11, 12, 13, 14, 15, 16, 17, 18]",0.5868055555555556,0,0,0,0,0,0,0.21920200525969769,0.12862895447530873
