,Pattern,Relative SUP,global_interest_16,global_criterion_16,global_interest_20,global_criterion_20,global_interest_22,global_criterion_22,global_interest_27,global_criterion_27
0,"[1, 21]",0.2028368794326241,-0.015602836879432624,0.0031648307429203762,0.7957446808510639,0.1614063678889392,0.5686058622228835,0.11533423872038628,0.47383821851906954,0.09611186560032191
1,"[1, 21, 22]",0.14468085106382977,-0.015602836879432624,0.002257431718726422,0.7957446808510639,0.11512901765504753,0.0,0.0,0.7051206975079706,0.10201746261817446
2,"[1, 21, 22, 23]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.7957446808510639,0.10948543835823149,0.0,0.0,0.7557212839072895,0.10397867310497459
3,"[1, 21, 22, 23, 24]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.7957446808510639,0.10948543835823149,0.0,0.0,0.7557212839072895,0.10397867310497459
4,"[1, 21, 22, 23, 24, 25]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.7957446808510639,0.10948543835823149,0.0,0.0,0.7557212839072895,0.10397867310497459
5,"[1, 21, 22, 23, 24, 25, 26]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.7957446808510639,0.10948543835823149,0.0,0.0,0.7557212839072895,0.10397867310497459
6,"[1, 21, 22, 23, 24, 25, 26, 27]",0.12056737588652482,-0.015602836879432624,0.0018811930989386851,0.7957446808510639,0.09594084804587294,0.0,0.0,0.0,0.0
7,"[1, 21, 22, 23, 24, 25, 26, 27, 28]",0.10354609929078014,-0.015602836879432624,0.0016156128967355766,0.7957446808510639,0.08239625773351442,0.0,0.0,0.0,0.0
8,"[1, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.10354609929078014,-0.015602836879432624,0.0016156128967355766,0.7957446808510639,0.08239625773351442,0.0,0.0,0.0,0.0
