,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
0,"[2, 3]",0.9517730496453901,-0.18488942048359486,0.17597276758083993
1,"[2, 3, 4]",0.5617021276595745,-0.13684323238956325,0.07686513478903127
2,"[2, 3, 4, 5]",0.502127659574468,-0.09399174451415358,0.04719585469221328
4,"[2, 3, 4, 5, 6, 7]",0.4921985815602837,-0.06956658169490326,0.03424057283422898
3,"[2, 3, 4, 5, 6]",0.4921985815602837,-0.0671819506900067,0.03306686083607421
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.4340425531914894,-0.07478641628305426,0.03246048706753844
5,"[2, 3, 4, 5, 6, 7, 8]",0.4340425531914894,-0.05390603793754839,0.023397514338850792
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.3219858156028369,-0.0705366500376338,0.022711800792259398
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.21560283687943263,-0.07053717040731373,0.015208014045264806
