,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
0,"[1, 2]",0.9914893617021276,0,0,0,0,0,0,0.0008611955420466111,0.0008538662182845122
1,"[1, 2, 3]",0.9517730496453901,0,0,0,0,0,0,0.006109226199913317,0.005814596851265016
2,"[1, 2, 3, 4]",0.5617021276595745,0,0,0,0,0,0,0.08776595744680853,0.049298325033952026
3,"[1, 2, 3, 4, 5]",0.5163120567375886,0,0,0,0,0,0,0.11123855403261264,0.05743380662109361
4,"[1, 2, 3, 4, 5, 6]",0.5134751773049645,0,0,0,0,0,0,0.11423925394772934,0.05865902117599719
5,"[1, 2, 3, 4, 5, 6, 7]",0.5134751773049645,0,0,0,0,0,0,0.11423925394772934,0.05865902117599719
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.451063829787234,0,0,0,0,0,0,0.1467282215977519,0.06618379357175191
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.451063829787234,0,0,0,0,0,0,0.1467282215977519,0.06618379357175191
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.3333333333333333,0,0,0,0,0,0,0.22328120455511558,0.07442706818503853
