,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
0,"[2, 3]",0.9177852348993288,-0.1477167499431613,0.13557225204514972
1,"[2, 3, 4]",0.6869127516778524,-0.1295129099265452,0.08896406933544901
2,"[2, 3, 4, 5]",0.6087248322147651,-0.10223155219305266,0.062230884455770984
3,"[2, 3, 4, 5, 6]",0.5751677852348993,-0.07863625288989916,0.04522903941385475
4,"[2, 3, 4, 5, 6, 7]",0.5644295302013422,-0.06309843976461493,0.0356146227127793
5,"[2, 3, 4, 5, 6, 7, 8]",0.5620805369127517,-0.05241329133213972,0.02946049093333357
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5577181208053691,-0.045998709690214204,0.025654313927897986
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5469798657718121,-0.04164458910286448,0.02277875175760708
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5328859060402684,-0.037317920261735985,0.019886193750213672
