,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
0,"[2, 3]",0.975609756097561,-0.15697154471544716,0.15314297045409478
1,"[2, 3, 4]",0.6455284552845528,-0.09735724573870425,0.06284687245246437
2,"[2, 3, 4, 5]",0.6439024390243903,-0.09722340363144874,0.06260238672854261
3,"[2, 3, 4, 5, 6]",0.5658536585365853,-0.07290067412467119,0.04125111316322857
4,"[2, 3, 4, 5, 6, 7]",0.5642276422764227,-0.061474793150804154,0.03468577759890901
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,-0.06646249386224928,0.03112389956476064
5,"[2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,-0.04920835928605514,0.027044594209246563
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,-0.04955106966326404,0.026749520533664486
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,-0.04222746879873596,0.023207942201581715
