user_id, server_time, user_time, action_id, chat_version, category, action, label, value
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786684250,1513786683685,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,000 - CHAT_START,,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786684812,1513786684750,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012ba9-92110778,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786687818,1513786687746,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,001 - Escrever: Texto ou HTML,,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786687818,1513786687762,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,1510241967161-cxrd-vyun-9z2l,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786692162,1513786692100,1510241967161-cxrd-vyun-9z2l,155,EKPT-Natal-Prendas-B V.155,002 - Perguntar: Lista de Opgues,F,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786692163,1513786692103,1510241967161-cxrd-vyun-9z2l,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,1510681313863-ry1n-p8vl-lxn0,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786692188,1513786692134,1510681313863-ry1n-p8vl-lxn0,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012d30-63795036,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786710673,1513786710626,action-5a0471c7012d30-63795036,155,EKPT-Natal-Prendas-B V.155,004 - Perguntar: Texto,,
7a4d467c-5403-415a-8f4c-e9374f1810f7,1513786710706,1513786710631,action-5a0471c7012d30-63795036,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012d41-53079241,
866bca27-baee-49fd-ae3f-057502d96bbb,1513786715934,1513786715331,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,000 - CHAT_START,,
866bca27-baee-49fd-ae3f-057502d96bbb,1513786715940,1513786715448,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012ba9-92110778,
6b387152-610b-461b-a368-9127b462b402,1513786751972,1513783665637,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,000 - CHAT_START,,
6b387152-610b-461b-a368-9127b462b402,1513786753009,1513783666908,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012ba9-92110778,
6b387152-610b-461b-a368-9127b462b402,1513786756484,1513783670375,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,001 - Escrever: Texto ou HTML,,
6b387152-610b-461b-a368-9127b462b402,1513786756487,1513783670391,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,1510241967161-cxrd-vyun-9z2l,
a3bf856f-978a-4325-98c3-0dcb0cf2f259,1513786765568,1513783679468,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,000 - CHAT_START,,
a3bf856f-978a-4325-98c3-0dcb0cf2f259,1513786766600,1513783680508,prof_5a3a8d2d2509b3eba4eb219f61fa019f7702cc312873e135f47cb,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,action-5a0471c7012ba9-92110778,
a3bf856f-978a-4325-98c3-0dcb0cf2f259,1513786769907,1513783683792,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,001 - Escrever: Texto ou HTML,,
a3bf856f-978a-4325-98c3-0dcb0cf2f259,1513786769908,1513783683806,action-5a0471c7012ba9-92110778,155,EKPT-Natal-Prendas-B V.155,CHAT_TRANSITION,1510241967161-cxrd-vyun-9z2l,
