user_id, server_time, user_time, action_id, chat_version, category, action, label, value
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924498741,1515924497462,1511284368125-sb0j-qhth-e3dm,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb76e3-19060063,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924499745,1515924498467,action-5a145e0bdb76e3-19060063,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7718-67297408,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924523622,1515924522213,action-5a145e0bdb7718-67297408,280,EKPT-Cridito Consolidado-100 Criditos V.280,004 - Perguntar: Slider,3,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924523628,1515924522218,action-5a145e0bdb7718-67297408,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425668661-wp57-c4cq-vk5r,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924523633,1515924522228,1515425668661-wp57-c4cq-vk5r,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb76f3-86182631,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924570309,1515924568813,action-5a145e0bdb76f3-86182631,280,EKPT-Cridito Consolidado-100 Criditos V.280,006 - Perguntar: Slider,74000,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924570315,1515924568817,action-5a145e0bdb76f3-86182631,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425697133-z2kv-m3el-auhq,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924570320,1515924568824,1515425697133-z2kv-m3el-auhq,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7729-56961761,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924576120,1515924574852,action-5a145e0bdb7729-56961761,280,EKPT-Cridito Consolidado-100 Criditos V.280,008 - Perguntar: Lista de Opgues,0,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924576127,1515924574857,action-5a145e0bdb7729-56961761,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425722346-rtrl-oufx-tajm,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924576134,1515924574862,1515425722346-rtrl-oufx-tajm,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7730-93500570,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924583449,1515924582160,action-5a145e0bdb7730-93500570,280,EKPT-Cridito Consolidado-100 Criditos V.280,010 - Escrever: Texto ou HTML,,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924583456,1515924582165,action-5a145e0bdb7730-93500570,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7860-90059012,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924588981,1515924587715,action-5a145e0bdb7860-90059012,280,EKPT-Cridito Consolidado-100 Criditos V.280,011 - Perguntar: Lista de Opgues,M,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924588987,1515924587718,action-5a145e0bdb7860-90059012,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7878-84501867,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924608224,1515924606946,action-5a145e0bdb7878-84501867,280,EKPT-Cridito Consolidado-100 Criditos V.280,012 - Perguntar: Texto,,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924608228,1515924606949,action-5a145e0bdb7878-84501867,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7891-52669745,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924618491,1515924617214,action-5a145e0bdb7891-52669745,280,EKPT-Cridito Consolidado-100 Criditos V.280,013 - Perguntar: Texto,,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924618498,1515924617217,action-5a145e0bdb7891-52669745,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425754710-g58y-x9hx-737w,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924618506,1515924617223,1515425754710-g58y-x9hx-737w,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb78a5-22477229,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924620129,1515924618849,action-5a145e0bdb78a5-22477229,280,EKPT-Cridito Consolidado-100 Criditos V.280,015 - Escrever: Texto ou HTML,,
