,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
1223,"[2, 3]",0.9177852348993288,-0.1477167499431613,0.13557225204514972
2395,"[3, 4]",0.6879194630872483,-0.16261706843275103,0.1118674464050804
51,"[1, 3]",0.9171140939597315,-0.10676340989616569,0.09791422793497342
1224,"[2, 3, 4]",0.6875838926174497,-0.1295129099265452,0.08905099075150709
1,"[1, 2, 3]",0.9171140939597315,-0.09227713756882164,0.08462866341462737
2444,"[3, 5]",0.6110738255033556,-0.12625819298238203,0.07715307698688512
3124,"[3, 22]",0.4332214765100671,-0.17725140369941897,0.07678911482414426
2917,"[3, 16]",0.5043624161073825,-0.14468756159277246,0.07297496814561644
2840,"[3, 14]",0.5318791946308725,-0.132630917782601,0.07054362573336329
2396,"[3, 4, 5]",0.6110738255033556,-0.1152072052860257,0.07040010765968215
52,"[1, 3, 4]",0.6875838926174497,-0.10221068322854812,0.0702784194413742
2674,"[3, 10]",0.5677852348993289,-0.11947026568812787,0.06783345286721891
2630,"[3, 9]",0.5791946308724832,-0.11661277258446233,0.0675414917720745
2413,"[3, 4, 22]",0.4332214765100671,-0.14920267909738363,0.06463780493782627
2407,"[3, 4, 16]",0.5043624161073825,-0.12749345102628598,0.06430290499748585
1225,"[2, 3, 5]",0.610738255033557,-0.10527365962629921,0.06429465118116261
2585,"[3, 8]",0.5832214765100671,-0.11021565385473876,0.06428013637568321
2717,"[3, 11]",0.5533557046979866,-0.1152534038318843,0.06377612849623396
2539,"[3, 7]",0.5855704697986577,-0.10876914055519148,0.0636919967344997
2405,"[3, 4, 14]",0.5318791946308725,-0.11945568848617168,0.06353599538610138
2492,"[3, 6]",0.587248322147651,-0.1081919813247371,0.06353555950278185
2759,"[3, 12]",0.5439597315436242,-0.11663386023546242,0.06344412330257872
2400,"[3, 4, 9]",0.5791946308724832,-0.10877692502074589,0.0630030109348347
2401,"[3, 4, 10]",0.5677852348993289,-0.11068192042318957,0.06284356018658951
2399,"[3, 4, 8]",0.5832214765100671,-0.10451217920093017,0.06095374746685121
2398,"[3, 4, 7]",0.5855704697986577,-0.10354783700123199,0.060634555559446246
2397,"[3, 4, 6]",0.587248322147651,-0.10316306418092908,0.06058233634786103
1242,"[2, 3, 22]",0.43288590604026844,-0.13926913343765715,0.06028764501160326
2402,"[3, 4, 11]",0.5533557046979866,-0.10787067918569386,0.05969085569705006
2923,"[3, 16, 22]",0.4332214765100671,-0.13724967453739792,0.05945950665361769
1236,"[2, 3, 16]",0.5040268456375839,-0.11755990536655951,0.059253348275359864
2403,"[3, 4, 12]",0.5439597315436242,-0.10879098345474596,0.059177914154410476
1234,"[2, 3, 14]",0.5315436241610738,-0.10952214282644519,0.05821579672385543
2800,"[3, 13]",0.5332214765100671,-0.1080220631371978,0.0575996840016803
1229,"[2, 3, 9]",0.5788590604026845,-0.0988433793610194,0.05721638570394579
1230,"[2, 3, 10]",0.5674496644295302,-0.1007483747634631,0.05716963145134768
2954,"[3, 17]",0.46610738255033557,-0.12224217159522975,0.05697797863952152
2848,"[3, 14, 22]",0.4332214765100671,-0.12921191199728363,0.05597737529815207
3092,"[3, 21]",0.448993288590604,-0.12432693754937944,0.05582196055069453
1228,"[2, 3, 8]",0.5828859060402685,-0.09457863354120369,0.05512855250371504
2404,"[3, 4, 13]",0.5332214765100671,-0.1030497853892362,0.05494835871929407
1227,"[2, 3, 7]",0.5852348993288591,-0.0936142913415055,0.05478635036898846
1226,"[2, 3, 6]",0.5869127516778524,-0.09322951852120259,0.054717593252880316
2842,"[3, 14, 16]",0.5043624161073825,-0.10750268392618596,0.05422031340303943
1231,"[2, 3, 11]",0.553020134228188,-0.09793713352596739,0.05416120672845445
2461,"[3, 5, 22]",0.4332214765100671,-0.12496342879713766,0.05413684113325662
2879,"[3, 15]",0.5043624161073825,-0.10676340989616569,0.05384745136709296
