,Pattern,Relative SUP,global_interest_11,global_criterion_11,global_interest_24,global_criterion_24,global_interest_28,global_criterion_28,global_interest_32,global_criterion_32
1474,"[3, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2720,"[5, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2004,"[4, 5, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1564,"[3, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1409,"[3, 5, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
178,"[1, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2159,"[4, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2130,"[4, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
3248,"[6, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1535,"[3, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
44,"[1, 3, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2630,"[5, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
934,"[2, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
844,"[2, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
3744,"[7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
3715,"[7, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1442,"[3, 6, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
875,"[2, 8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
745,"[2, 4, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
1505,"[3, 8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
3189,"[6, 8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
4180,"[8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
2069,"[4, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
4209,"[8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
79,"[1, 4, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
3158,"[6, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
239,"[1, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
