,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
1593,"[3, 11]",0.4682926829268293,-0.20808690312528286,0.09744557414647392
1977,"[3, 38]",0.23902439024390243,-0.3033646809030606,0.07251155787439009
1404,"[3, 5]",0.6439024390243903,-0.08624346878184852,0.055532379898556125
1564,"[3, 10]",0.5398373983739837,-0.09756146805165503,0.052667329094551976
5841,"[11, 38]",0.23902439024390243,-0.20808690312528286,0.04973784513726273
1619,"[3, 11, 38]",0.23902439024390243,-0.20808690312528286,0.04973784513726273
1409,"[3, 5, 10]",0.5398373983739837,-0.08624346878184852,0.046557449813940985
2720,"[5, 10]",0.5398373983739837,-0.08624346878184852,0.046557449813940985
5079,"[10, 11]",0.4682926829268293,-0.09756146805165503,0.045687321624189675
1565,"[3, 10, 11]",0.4682926829268293,-0.09756146805165503,0.045687321624189675
2721,"[5, 10, 11]",0.4682926829268293,-0.08624346878184852,0.04038718538076809
1410,"[3, 5, 11]",0.4682926829268293,-0.08624346878184852,0.04038718538076809
2749,"[5, 11]",0.4682926829268293,-0.08624346878184852,0.04038718538076809
37,"[1, 3]",0.975609756097561,0.034968652430272695,0.03411575846855873
1591,"[3, 10, 38]",0.23902439024390243,-0.09756146805165503,0.02331957041234681
5463,"[10, 38]",0.23902439024390243,-0.09756146805165503,0.02331957041234681
5105,"[10, 11, 38]",0.23902439024390243,-0.09756146805165503,0.02331957041234681
108,"[1, 5]",0.6439024390243903,0.034968652430272695,0.02251640058924876
39,"[1, 3, 5]",0.6439024390243903,0.034968652430272695,0.02251640058924876
38,"[1, 3, 4]",0.6455284552845528,0.03244976074261526,0.020947243926533753
1369,"[3, 4]",0.6455284552845528,0.03244976074261526,0.020947243926533753
73,"[1, 4]",0.6455284552845528,0.03244976074261526,0.020947243926533753
1999,"[4, 5]",0.6439024390243903,0.03244976074261526,0.020894480087927877
1370,"[3, 4, 5]",0.6439024390243903,0.03244976074261526,0.020894480087927877
74,"[1, 4, 5]",0.6439024390243903,0.03244976074261526,0.020894480087927877
3133,"[5, 38]",0.23902439024390243,-0.08624346878184852,0.020614292538100376
1436,"[3, 5, 38]",0.23902439024390243,-0.08624346878184852,0.020614292538100376
2775,"[5, 11, 38]",0.23902439024390243,-0.08624346878184852,0.020614292538100376
2747,"[5, 10, 38]",0.23902439024390243,-0.08624346878184852,0.020614292538100376
2594,"[5, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
109,"[1, 5, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
1438,"[3, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
40,"[1, 3, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
1405,"[3, 5, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
142,"[1, 6]",0.5658536585365853,0.034968652430272695,0.01978713991176406
111,"[1, 5, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
42,"[1, 3, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
2659,"[5, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
144,"[1, 6, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
207,"[1, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
1503,"[3, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
1440,"[3, 6, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
1407,"[3, 5, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
2596,"[5, 6, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
3187,"[6, 8]",0.5495934959349593,0.034968652430272695,0.01921854393728808
