,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
51,"[1, 3]",0.9171140939597315,-0.1253654970760234,0.11497446426468858
1,"[1, 2, 3]",0.9171140939597315,-0.11087922474867935,0.1016888997443425
2493,"[3, 6, 7]",0.5855704697986577,0.16486446137629973,0.09653976010122249
2445,"[3, 5, 6]",0.587248322147651,0.15320509309150604,0.0899694338624616
2446,"[3, 5, 7]",0.5855704697986577,0.15282032027120313,0.08948706673598975
3187,"[3, 29, 31]",0.36476510067114093,0.24425886576207295,0.08909710975952125
2499,"[3, 6, 13]",0.5332214765100671,0.16536251298829552,0.08817484333503409
2545,"[3, 7, 13]",0.5332214765100671,0.1649777401679926,0.08796967420367123
2498,"[3, 6, 12]",0.5439597315436242,0.15962131492278575,0.08682756761403883
2544,"[3, 7, 12]",0.5439597315436242,0.15923654210248284,0.08661826669400158
2760,"[3, 12, 13]",0.5332214765100671,0.15973459371447862,0.08517391591016998
2802,"[3, 13, 15]",0.5043624161073825,0.16631489394067644,0.08388298174256265
2501,"[3, 6, 15]",0.5043624161073825,0.16620161514898357,0.0838258481774907
2547,"[3, 7, 15]",0.5043624161073825,0.16581684232868066,0.08363178322819027
52,"[1, 3, 4]",0.6875838926174497,-0.12081277040840584,0.08306891495530992
2889,"[3, 15, 31]",0.36476510067114093,0.22725825859753135,0.0828958815756767
3064,"[3, 20, 31]",0.36476510067114093,0.22725825859753135,0.0828958815756767
2812,"[3, 13, 31]",0.36476510067114093,0.2264191564368433,0.08258980639155995
2511,"[3, 6, 31]",0.36476510067114093,0.22630587764515042,0.08254848624170419
2557,"[3, 7, 31]",0.36476510067114093,0.2259211048248475,0.08240813454517089
3157,"[3, 28, 31]",0.36476510067114093,0.22395197666185357,0.08168986531256202
2762,"[3, 12, 15]",0.5043624161073825,0.16057369587516673,0.08098733721489114
2772,"[3, 12, 31]",0.36476510067114093,0.22067795837133353,0.08049561770122132
2451,"[3, 5, 12]",0.5439597315436242,0.14757717381768914,0.08027603985183696
2801,"[3, 13, 14]",0.5318791946308725,0.14906988868305293,0.079287172336456
2500,"[3, 6, 14]",0.5318791946308725,0.14895660989136006,0.07922692170396164
2546,"[3, 7, 14]",0.5318791946308725,0.14857183707105714,0.07902226904618308
3096,"[3, 21, 31]",0.36476510067114093,0.2155492401620555,0.07862484028730012
3215,"[3, 31]",0.36476510067114093,0.21552189082027362,0.07861486420189175
2464,"[3, 5, 31]",0.36476510067114093,0.2142617365400538,0.0781552038990062
2454,"[3, 5, 15]",0.5043624161073825,0.15415747404388697,0.07775123606978594
1223,"[2, 3]",0.9177852348993288,-0.08441215702902777,0.07747223136724528
2851,"[3, 14, 31]",0.36476510067114093,0.2100132533399078,0.0766055054968053
2761,"[3, 12, 14]",0.5318791946308725,0.14332869061754316,0.07623354853315635
2397,"[3, 4, 6]",0.587248322147651,0.12896584279126,0.07573497479352516
2841,"[3, 14, 15]",0.5043624161073825,0.14990899084374099,0.07560846081816869
2398,"[3, 4, 7]",0.5855704697986577,0.12858106997095708,0.07529327755010741
2884,"[3, 15, 20]",0.448993288590604,0.16715399610136455,0.07505102241061268
2807,"[3, 13, 20]",0.448993288590604,0.16631489394067644,0.07467427117202184
2506,"[3, 6, 20]",0.448993288590604,0.16620161514898357,0.07462340975481209
2552,"[3, 7, 20]",0.448993288590604,0.16581684232868066,0.074450649340864
3220,"[3, 31, 36]",0.32583892617449667,0.2262283924801266,0.07371401647590703
2453,"[3, 5, 14]",0.5318791946308725,0.1369124687862634,0.07282089363296225
