,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
16,"[2, 3]",0.9517730496453901,-0.18488942048359486,0.17597276758083993
34,"[3, 4, 5, 6, 7]",0.4921985815602837,0.28629894293330577,0.1409159336139817
33,"[3, 4, 5, 6]",0.4921985815602837,0.2858014026046813,0.1406710449699637
1,"[1, 2, 3]",0.950354609929078,-0.14429067119486885,0.13712730453980446
35,"[3, 4, 5, 6, 7, 8]",0.4340425531914894,0.3068884633733832,0.1332026521875961
36,"[3, 4, 5, 6, 7, 8, 9]",0.4340425531914894,0.2843086509294134,0.1234020527438305
32,"[3, 4, 5]",0.502127659574468,0.24445651494831824,0.12274837771873
37,"[3, 4, 5, 6, 7, 8, 9, 10]",0.3219858156028369,0.29042510967485163,0.09351276581020046
31,"[3, 4]",0.5617021276595745,0.16451399238284484,0.09240785955121497
17,"[2, 3, 4]",0.5617021276595745,-0.13684323238956325,0.07686513478903127
2,"[1, 2, 3, 4]",0.5617021276595745,-0.12629236402370375,0.0709386895792719
38,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.21560283687943263,0.2914042071812855,0.06282757374688709
91,"[8, 9]",0.451063829787234,-0.13050314465408805,0.05886524822695035
82,"[7, 8, 9]",0.451063829787234,-0.12751775021138098,0.05751864477619738
39,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.19148936170212766,0.29702977644022316,0.05687804229706401
40,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.18014184397163122,0.3042713326095713,0.054811998923993695
3,"[1, 2, 3, 4, 5]",0.502127659574468,-0.10043066465828963,0.05042901459437522
41,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19]",0.16170212765957448,0.30380913443066193,0.04912658343985172
18,"[2, 3, 4, 5]",0.502127659574468,-0.09399174451415358,0.04719585469221328
42,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20]",0.14184397163120568,0.311430864176713,0.04417459066336355
72,"[6, 7, 8, 9]",0.451063829787234,-0.09563831265853573,0.04313898358214803
5,"[1, 2, 3, 4, 5, 6, 7]",0.4921985815602837,-0.08666842971738148,0.0426580781729523
43,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21]",0.14042553191489363,0.29798028665412524,0.041844040253558014
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4340425531914894,-0.0945182245260113,0.0410249314963964
4,"[1, 2, 3, 4, 5, 6]",0.4921985815602837,-0.08227378083226264,0.04049503822524132
83,"[7, 8, 9, 10]",0.3333333333333333,-0.1147872488287485,0.038262416276249496
92,"[8, 9, 10]",0.3333333333333333,-0.11253401132967572,0.03751133710989191
143,"[13, 19, 20, 21]",0.1971631205673759,0.1772337833283966,0.03494396579098883
20,"[2, 3, 4, 5, 6, 7]",0.4921985815602837,-0.06956658169490326,0.03424057283422898
19,"[2, 3, 4, 5, 6]",0.4921985815602837,-0.0671819506900067,0.03306686083607421
61,"[5, 6, 7, 8, 9]",0.451063829787234,-0.0721150457312242,0.03252848871280751
22,"[2, 3, 4, 5, 6, 7, 8, 9]",0.4340425531914894,-0.07478641628305426,0.03246048706753844
