,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
1968,"[9, 10, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1969,"[9, 10, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1970,"[9, 10, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1971,"[9, 10, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1972,"[9, 10, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1973,"[9, 11]",0.6823899371069182,0,0,0,0,0,0,0.1244094716401472,0.08489577152802498
1974,"[9, 11, 12]",0.6069182389937107,0,0,0,0,0,0,0.1714799127198049,0.10407428665069919
1975,"[9, 11, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
1976,"[9, 11, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1977,"[9, 11, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1978,"[9, 11, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1979,"[9, 11, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1980,"[9, 11, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1981,"[9, 11, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1982,"[9, 11, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1983,"[9, 11, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1984,"[9, 11, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1985,"[9, 11, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1986,"[9, 11, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1921,"[8, 24, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1920,"[8, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1919,"[8, 23, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1852,"[8, 13, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1854,"[8, 13, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1855,"[8, 13, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1856,"[8, 13, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1857,"[8, 13, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1858,"[8, 13, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1859,"[8, 13, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1860,"[8, 13, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1861,"[8, 13, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1862,"[8, 13, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1863,"[8, 13, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1864,"[8, 13, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1865,"[8, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1866,"[8, 19, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1867,"[8, 19, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1868,"[8, 19, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1869,"[8, 19, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1870,"[8, 19, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1871,"[8, 19, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1872,"[8, 19, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1853,"[8, 13, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1851,"[8, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
1918,"[8, 23, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1850,"[8, 12, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1831,"[8, 11, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1832,"[8, 11, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1833,"[8, 11, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1834,"[8, 11, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1835,"[8, 11, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1836,"[8, 12]",0.6069182389937107,0,0,0,0,0,0,0.1714799127198049,0.10407428665069919
1837,"[8, 12, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
1838,"[8, 12, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1839,"[8, 12, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1840,"[8, 12, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1841,"[8, 12, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1842,"[8, 12, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1843,"[8, 12, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1844,"[8, 12, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1845,"[8, 12, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1846,"[8, 12, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1847,"[8, 12, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1848,"[8, 12, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1849,"[8, 12, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1873,"[8, 19, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1874,"[8, 19, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1875,"[8, 19, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1876,"[8, 19, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1899,"[8, 21, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1900,"[8, 21, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1901,"[8, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1902,"[8, 22, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1903,"[8, 22, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1904,"[8, 22, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1905,"[8, 22, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1906,"[8, 22, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1907,"[8, 22, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1908,"[8, 22, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1909,"[8, 22, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1910,"[8, 22, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1911,"[8, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1912,"[8, 23, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1913,"[8, 23, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1914,"[8, 23, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1915,"[8, 23, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1916,"[8, 23, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1917,"[8, 23, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1898,"[8, 21, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1897,"[8, 21, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1896,"[8, 21, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1885,"[8, 20, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1877,"[8, 19, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1878,"[8, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1879,"[8, 20, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1880,"[8, 20, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1881,"[8, 20, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1882,"[8, 20, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1883,"[8, 20, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1884,"[8, 20, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1886,"[8, 20, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1895,"[8, 21, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1887,"[8, 20, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1888,"[8, 20, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1889,"[8, 20, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1890,"[8, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1891,"[8, 21, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1892,"[8, 21, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1893,"[8, 21, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1894,"[8, 21, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
2010,"[9, 13, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
2012,"[9, 13, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1829,"[8, 11, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
2126,"[10, 12, 13]",0.7702127659574468,0,0,0,0,0,0,0.10791113200893382,0.08311453146220009
2128,"[10, 12, 20]",0.6127659574468085,0,0,0,0,0,0,0.2285756501182033,0.14006337709370756
2129,"[10, 12, 21]",0.6085106382978723,0,0,0,0,0,0,0.23270346674601988,0.14160253508374826
2130,"[10, 12, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
2131,"[10, 12, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2132,"[10, 12, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2133,"[10, 12, 25]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2134,"[10, 12, 26]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2135,"[10, 12, 27]",0.3617021276595745,0,0,0,0,0,0,0.6382978723404256,0.2308736985061114
2136,"[10, 12, 28]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2137,"[10, 12, 29]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2138,"[10, 12, 30]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2139,"[10, 12, 31]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2140,"[10, 13]",0.7702127659574468,0,0,0,0,0,0,0.10791113200893382,0.08311453146220009
2141,"[10, 13, 19]",0.6893617021276596,0,0,0,0,0,0,0.16298923036511687,0.11235853327297418
2142,"[10, 13, 20]",0.6127659574468085,0,0,0,0,0,0,0.2285756501182033,0.14006337709370756
2143,"[10, 13, 21]",0.6085106382978723,0,0,0,0,0,0,0.23270346674601988,0.14160253508374826
2144,"[10, 13, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
2145,"[10, 13, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2146,"[10, 13, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2127,"[10, 12, 19]",0.6893617021276596,0,0,0,0,0,0,0.16298923036511687,0.11235853327297418
2125,"[10, 12]",0.8212765957446808,0,0,0,0,0,0,0.07707338254450713,0.06329856523868033
2148,"[10, 13, 26]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2124,"[10, 11, 31]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2105,"[9, 29, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2106,"[9, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2107,"[9, 30, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2108,"[9, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2109,"[10, 11]",0.9234042553191489,0,0,0,0,0,0,0.030002941464849442,0.027704843820733314
2110,"[10, 11, 12]",0.8212765957446808,0,0,0,0,0,0,0.07707338254450713,0.06329856523868033
2111,"[10, 11, 13]",0.7702127659574468,0,0,0,0,0,0,0.10791113200893382,0.08311453146220009
2112,"[10, 11, 19]",0.6893617021276596,0,0,0,0,0,0,0.16298923036511687,0.11235853327297418
2113,"[10, 11, 20]",0.6127659574468085,0,0,0,0,0,0,0.2285756501182033,0.14006337709370756
2114,"[10, 11, 21]",0.6085106382978723,0,0,0,0,0,0,0.23270346674601988,0.14160253508374826
2115,"[10, 11, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
2116,"[10, 11, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2117,"[10, 11, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2118,"[10, 11, 25]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2119,"[10, 11, 26]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2120,"[10, 11, 27]",0.3617021276595745,0,0,0,0,0,0,0.6382978723404256,0.2308736985061114
2121,"[10, 11, 28]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2122,"[10, 11, 29]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2123,"[10, 11, 30]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2147,"[10, 13, 25]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2149,"[10, 13, 27]",0.3617021276595745,0,0,0,0,0,0,0.6382978723404256,0.2308736985061114
2013,"[9, 13, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
2172,"[10, 20, 25]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2174,"[10, 20, 27]",0.3617021276595745,0,0,0,0,0,0,0.6382978723404256,0.2308736985061114
2175,"[10, 20, 28]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2176,"[10, 20, 29]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2177,"[10, 20, 30]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2178,"[10, 20, 31]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2179,"[10, 21]",0.6085106382978723,0,0,0,0,0,0,0.23270346674601988,0.14160253508374826
2180,"[10, 21, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
2181,"[10, 21, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2182,"[10, 21, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2183,"[10, 21, 25]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2184,"[10, 21, 26]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2185,"[10, 21, 27]",0.3617021276595745,0,0,0,0,0,0,0.6382978723404256,0.2308736985061114
2186,"[10, 21, 28]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2187,"[10, 21, 29]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2188,"[10, 21, 30]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2189,"[10, 21, 31]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2190,"[10, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
2191,"[10, 22, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2192,"[10, 22, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2173,"[10, 20, 26]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2171,"[10, 20, 24]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2150,"[10, 13, 28]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2170,"[10, 20, 23]",0.4127659574468085,0,0,0,0,0,0,0.5145865321342398,0.21240380262562236
2151,"[10, 13, 29]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2152,"[10, 13, 30]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2153,"[10, 13, 31]",0.31063829787234043,0,0,0,0,0,0,0.6382978723404256,0.19827976459936625
2154,"[10, 19]",0.6893617021276596,0,0,0,0,0,0,0.16298923036511687,0.11235853327297418
2155,"[10, 19, 20]",0.6127659574468085,0,0,0,0,0,0,0.2285756501182033,0.14006337709370756
2156,"[10, 19, 21]",0.6085106382978723,0,0,0,0,0,0,0.23270346674601988,0.14160253508374826
2157,"[10, 19, 22]",0.4340425531914894,0,0,0,0,0,0,0.46398594573492086,0.2013896445317529
