,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
844,"[2, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
79,"[1, 4, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
44,"[1, 3, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
178,"[1, 7, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
239,"[1, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
146,"[1, 6, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
779,"[2, 5, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
710,"[2, 3, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
905,"[2, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
812,"[2, 6, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
268,"[1, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
875,"[2, 8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
934,"[2, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
209,"[1, 8, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
113,"[1, 5, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
