,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
37,"[2, 3]",0.975609756097561,-0.15697154471544716,0.15314297045409478
78,"[3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.2656831250894818,0.1460177175288534
77,"[3, 4, 5, 6, 7, 8]",0.5495934959349593,0.2565333369304966,0.14098905346749244
79,"[3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.25819813605972225,0.13938501003549233
76,"[3, 4, 5, 6, 7]",0.5642276422764227,0.24017333764992932,0.1355124360398788
75,"[3, 4, 5, 6]",0.5658536585365853,0.22281724677505532,0.1260819542727142
74,"[3, 4, 5]",0.6439024390243903,0.18431188458896267,0.11867887202801498
1,"[1, 2, 3]",0.975609756097561,-0.1209078590785908,0.11795888690594224
80,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.4682926829268293,0.24009587402839508,0.11243514100841917
73,"[3, 4]",0.6455284552845528,0.16790722082283793,0.10838888888888887
85,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.34146341463414637,0.270174720516877,0.09225478261551899
84,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.34146341463414637,0.2681973526224326,0.09157958382229407
86,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,0.2747186280379741,0.08978608818802081
83,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.34146341463414637,0.2623526875631909,0.08958384453377251
82,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.34471544715447155,0.2554453561295416,0.08805596016172816
81,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.3544715447154472,0.24762604197723753,0.08777638561144355
91,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2682926829268293,0.2895399966023655,0.07768146250307367
92,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.2682926829268293,0.2885134050755559,0.07740603550807598
89,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.27154471544715447,0.28411851474336913,0.07715088123925633
90,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.2682926829268293,0.2869719262481041,0.07699246801778403
88,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.27154471544715447,0.2815147165178547,0.07644383359102722
87,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.27479674796747966,0.27796355296688724,0.0763834804087869
95,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.24715447154471545,0.2947408961077781,0.07284653042013378
96,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.24715447154471545,0.29324135035355703,0.07247591098169215
94,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.24715447154471545,0.2928455727501452,0.07237809277727167
93,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.24878048780487805,0.29077794726909123,0.07233987956450562
97,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.22439024390243903,0.29384443567178375,0.06593582458976611
329,"[11, 12, 13, 14, 15, 16]",0.34146341463414637,0.1908657220153056,0.06517366117595802
330,"[11, 12, 13, 14, 15, 16, 17]",0.32682926829268294,0.1983214125210556,0.06481724214102792
328,"[11, 12, 13, 14, 15]",0.34146341463414637,0.18891832134499145,0.06450869509341171
38,"[2, 3, 4]",0.6455284552845528,-0.09735724573870425,0.06284687245246437
3,"[1, 2, 3, 4, 5]",0.6439024390243903,-0.09729091802711021,0.06264585941257828
39,"[2, 3, 4, 5]",0.6439024390243903,-0.09722340363144874,0.06260238672854261
99,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.2032520325203252,0.2970222140761801,0.060370368714670754
100,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.2032520325203252,0.2963568712710454,0.060235136437204344
98,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.2032520325203252,0.2954921726222115,0.06005938467931128
327,"[11, 12, 13, 14]",0.34146341463414637,0.17538401279235044,0.05988722388031479
2,"[1, 2, 3, 4]",0.6455284552845528,-0.09131061723085745,0.05894360169211448
335,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2682926829268293,0.21515679251968328,0.05772499311503698
334,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.2682926829268293,0.21262054133460398,0.05704453548001571
333,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.27154471544715447,0.20957703991250884,0.05690953766729915
101,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.191869918699187,0.2964657640924765,0.056882862053515816
336,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.2682926829268293,0.2118911774613681,0.056848852489635344
332,"[11, 12, 13, 14, 15, 16, 17, 18, 19]",0.27154471544715447,0.20696278803619464,0.05619965138543822
331,"[11, 12, 13, 14, 15, 16, 17, 18]",0.27479674796747966,0.20245119209627452,0.05563292921019576
339,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.24715447154471545,0.21773449835402825,0.05381405487774357
