,Pattern,Relative SUP,global_interest_17,global_criterion_17,global_interest_28,global_criterion_28,global_interest_77,global_criterion_77,global_interest_81,global_criterion_81,global_interest_78,global_criterion_78
397,"[18, 19]",0.45,0.5338926174496644,0.240251677852349,0.45887929728170807,0.20649568377676863,0.3047182723375551,0.1371232225518998,0.2764394335629128,0.12439774510331075,0.29411370779706414,0.13235116850867887
413,"[19, 20]",0.448993288590604,0.5338926174496644,0.23971420206297012,0.46069906432175567,0.2068507879404393,0.30594474109636016,0.13736713543185566,0.2775510703963161,0.1246185678490842,0.29529711458384356,0.13258642258831632
399,"[18, 19, 20, 21]",0.448993288590604,0.5338926174496644,0.23971420206297012,0.46069906432175567,0.2068507879404393,0.30594474109636016,0.13736713543185566,0.2775510703963161,0.1246185678490842,0.29529711458384356,0.13258642258831632
428,"[20, 21]",0.448993288590604,0.5338926174496644,0.23971420206297012,0.46069906432175567,0.2068507879404393,0.30594474109636016,0.13736713543185566,0.2775510703963161,0.1246185678490842,0.29529711458384356,0.13258642258831632
414,"[19, 20, 21]",0.448993288590604,0.5338926174496644,0.23971420206297012,0.46069906432175567,0.2068507879404393,0.30594474109636016,0.13736713543185566,0.2775510703963161,0.1246185678490842,0.29529711458384356,0.13258642258831632
398,"[18, 19, 20]",0.448993288590604,0.5338926174496644,0.23971420206297012,0.46069906432175567,0.2068507879404393,0.30594474109636016,0.13736713543185566,0.2775510703963161,0.1246185678490842,0.29529711458384356,0.13258642258831632
307,"[13, 14, 15]",0.5043624161073825,0.46001056949114216,0.23201204226348546,0.37250562183839553,0.18787783544399614,0.24301065213325396,0.12256543964975862,0.22050937987969055,0.11121664361046137,0.23457267503816764,0.11830964113502213
326,"[14, 15]",0.5043624161073825,0.46001056949114216,0.23201204226348546,0.37250562183839553,0.18787783544399614,0.24301065213325396,0.12256543964975862,0.22050937987969055,0.11121664361046137,0.23457267503816764,0.11830964113502213
345,"[15, 16]",0.5043624161073825,0.46001056949114216,0.23201204226348546,0.37250562183839553,0.18787783544399614,0.24301065213325396,0.12256543964975862,0.22050937987969055,0.11121664361046137,0.23457267503816764,0.11830964113502213
415,"[19, 20, 21, 22]",0.4332214765100671,0.5338926174496644,0.23129374802936803,0.490286211427151,0.21240251642699728,0.3258855965950884,0.1411806393302883,0.29562490171310885,0.12807105641329647,0.31453783601434604,0.13626454573641636
400,"[18, 19, 20, 21, 22]",0.4332214765100671,0.5338926174496644,0.23129374802936803,0.490286211427151,0.21240251642699728,0.3258855965950884,0.1411806393302883,0.29562490171310885,0.12807105641329647,0.31453783601434604,0.13626454573641636
429,"[20, 21, 22]",0.4332214765100671,0.5338926174496644,0.23129374802936803,0.490286211427151,0.21240251642699728,0.3258855965950884,0.1411806393302883,0.29562490171310885,0.12807105641329647,0.31453783601434604,0.13626454573641636
442,"[21, 22]",0.4332214765100671,0.5338926174496644,0.23129374802936803,0.490286211427151,0.21240251642699728,0.3258855965950884,0.1411806393302883,0.29562490171310885,0.12807105641329647,0.31453783601434604,0.13626454573641636
327,"[14, 15, 16]",0.5016778523489933,0.4602769822705114,0.23091076795114582,0.37378068775550344,0.18751749268271062,0.24365367378615305,0.12223565178197947,0.22090921015237303,0.11082525811335493,0.23512449992348555,0.11795675415624528
308,"[13, 14, 15, 16]",0.5016778523489933,0.4602769822705114,0.23091076795114582,0.37378068775550344,0.18751749268271062,0.24365367378615305,0.12223565178197947,0.22090921015237303,0.11082525811335493,0.23512449992348555,0.11795675415624528
288,"[12, 13, 14, 15]",0.5036912751677852,0.4579432503610569,0.23066201972884107,0.3660268992930886,0.1843645556506463,0.25095998640727213,0.12640635556956895,0.2271530389136549,0.11441500382865638,0.24203238109716563,0.12190959866672671
268,"[11, 12, 13, 14, 15]",0.5016778523489933,0.4576384368476577,0.2295870681500833,0.36631388745482696,0.18377156434394842,0.25031649121231836,0.12557823971893153,0.22631702992076497,0.11353824152065223,0.24131669322798588,0.12106324039457682
289,"[12, 13, 14, 15, 16]",0.501006711409396,0.45820608027618814,0.22956432142696273,0.36730311925450754,0.18402132786811404,0.25166369230907537,0.12608519886491595,0.22759971590015143,0.11402898518084768,0.24263970115572892,0.12156411873339037
247,"[10, 11, 12, 13, 14, 15]",0.5,0.4573825503355705,0.22869127516778526,0.3667785234899329,0.18338926174496645,0.2506711409395973,0.12533557046979865,0.2271812080536913,0.11359060402684565,0.24228187919463084,0.12114093959731542
225,"[9, 10, 11, 12, 13, 14, 15]",0.49966442953020135,0.4573311668116523,0.2285121165713256,0.366603188482879,0.1831785730372506,0.25033940169745916,0.12508569433809286,0.22681746679227083,0.11333262015224539,0.24193842090317808,0.12088802306202422
269,"[11, 12, 13, 14, 15, 16]",0.49899328859060404,0.4579006873891398,0.228489369848205,0.3675968009098992,0.18342833656141616,0.25101957456795587,0.12525708301427865,0.22676101154073558,0.11315222287284356,0.24192261343274823,0.12071776046124048
202,"[8, 9, 10, 11, 12, 13, 14, 15]",0.49899328859060404,0.45722819243285195,0.22815379937840632,0.3662518109973235,0.18275719562181883,0.250347079611668,0.12492151254447999,0.22743350649702337,0.11348779334264221,0.24192261343274823,0.12071776046124048
153,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4986577181208054,0.4571766012989241,0.22797464078194674,0.36607576756663973,0.1825465069141029,0.2506874000740694,0.12500720688257289,0.22774214819297783,0.11356537993784063,0.24225116749618358,0.12080041439574793
178,"[7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4986577181208054,0.4571766012989241,0.22797464078194674,0.36607576756663973,0.1825465069141029,0.2506874000740694,0.12500720688257289,0.22774214819297783,0.11356537993784063,0.24225116749618358,0.12080041439574793
248,"[10, 11, 12, 13, 14, 15, 16]",0.4976510067114094,0.4576957192702983,0.22777273546236657,0.3675691392832413,0.1829211522003513,0.2510368064009558,0.12492871942705285,0.22732195305181319,0.11312699878383857,0.24256517941593092,0.12071280572947166
226,"[9, 10, 11, 12, 13, 14, 15, 16]",0.49731543624161073,0.4576443043592461,0.22759357686590695,0.3673935095870807,0.18271046349263545,0.2507037469771487,0.1246788432953471,0.22695658868389357,0.11286901490923834,0.24222029001258955,0.12045988919418044
203,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4966442953020134,0.45754126609831314,0.22723525967298774,0.36704153818247776,0.18228908607720373,0.25071195356430254,0.12451466150173415,0.22757573009250864,0.11302418809963517,0.24220478868129874,0.12028962659339669
179,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4963087248322148,0.45748964246656776,0.2270561010765281,0.3668651955112061,0.18207839736948786,0.2510541314419773,0.124600355839827,0.22788592872927926,0.11310177469483357,0.2425350885552091,0.12037228052790412
154,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4963087248322148,0.45748964246656776,0.2270561010765281,0.3668651955112061,0.18207839736948786,0.2510541314419773,0.124600355839827,0.22788592872927926,0.11310177469483357,0.2425350885552091,0.12037228052790412
127,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.49161073825503354,0.45675951164761663,0.2245478807260934,0.36846668346427836,0.18114217828025764,0.2545284834047231,0.12512893563352998,0.23090798726435624,0.11351684608801406,0.2458414458162494,0.1208582946714112
128,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.489261744966443,0.4570750591506245,0.2236293410206747,0.3692789607902708,0.18067406873564257,0.25491893832684287,0.1247220845907842,0.2310690382154464,0.113053240845007,0.2461466935491295,0.12043016080356739
306,"[13, 14]",0.5318791946308725,0.41467120625745035,0.22055498722082512,0.33831463609791146,0.17994251617959386,0.2123924296608371,0.11296711443370028,0.19275788304838426,0.10252390759452654,0.20502947468116722,0.10905091186901009
100,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4835570469798658,0.4554748520089982,0.22024807441106256,0.36900432678648765,0.17843464258366737,0.2546933291105635,0.12315875411017518,0.23166495116646246,0.1120232196747894,0.24640466864453742,0.11915071393180485
72,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4825503355704698,0.45531125444549203,0.21971059862168374,0.3684643100503122,0.17780257646051978,0.25506202686430635,0.1230802666546552,0.23193520082889174,0.11192040899058601,0.246737172247062,0.11906310526552856
101,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4815436241610738,0.4558438369618596,0.21950869330210354,0.3693157636274349,0.1778416512769695,0.25473540209994616,0.12266620872933649,0.23150971634356804,0.11148202783658394,0.2463742019970535,0.11863992612945362
43,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4815436241610738,0.4551469728503613,0.21917312283230486,0.36861889951593674,0.17750608080717087,0.25473540209994616,0.12266620872933649,0.23150971634356804,0.11148202783658394,0.2463742019970535,0.11863992612945362
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4812080536912752,0.45509205956960863,0.21899396423584522,0.36843812305186596,0.17729539209945497,0.25509112352924657,0.12275190306742939,0.23183239261276944,0.11155961443178235,0.2467177744704352,0.1187225800639611
73,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.48053691275167787,0.4556803269468711,0.21897121751272464,0.3687741367027857,0.17720958515382185,0.255105732818417,0.12258772127381648,0.23178077312436723,0.1113792171523805,0.24670803494432153,0.11855231746317733
44,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.47953020134228186,0.45551613039578065,0.21843374172334581,0.36893002569027944,0.1769130895004729,0.2547778283964476,0.12217366334849784,0.2313531779392357,0.11094083599837846,0.2463434795064836,0.11812913832710237
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4791946308724832,0.4554612449006449,0.2182545831268862,0.36874870753670597,0.1767024007927571,0.2551350741638938,0.12225935768659071,0.2316771003703495,0.11101842259357687,0.24668847404733707,0.11821179226160984
287,"[12, 13, 14]",0.5312080536912752,0.4100770773359562,0.21783624611503985,0.3277891777993529,0.1741242511598576,0.22473194639351834,0.11937941984595288,0.20340976058541466,0.10805290302238639,0.21673612671547943,0.11513197603711542
286,"[12, 13]",0.5332214765100671,0.4080272933464548,0.21756891581460294,0.32577557114558564,0.17371053105715958,0.2235484306959339,0.11920082428719428,0.20239798784428176,0.10792295392099453,0.21561701462656435,0.11497162289986938
267,"[11, 12, 13, 14]",0.5291946308724832,0.4096059972847944,0.21676129453628212,0.327915760534189,0.17353125985315976,0.22402212169057723,0.11855130399531552,0.20252688606776098,0.10717614071438224,0.21596140833202115,0.11428561776496556
266,"[11, 12, 13]",0.5312080536912752,0.4075502295785336,0.21649396423584522,0.3258940419812859,0.17311753975046162,0.22283681057545135,0.11837270843655688,0.20151462476734766,0.1070461916129904,0.2148409908974125,0.11412526462771946
246,"[10, 11, 12, 13, 14]",0.5275167785234899,0.4092106836074254,0.21586550155398412,0.32823402838260163,0.17314895725417775,0.2242746383865294,0.11830863474618261,0.20327031780999716,0.10722850322057567,0.2167956008675308,0.11436331696770416
224,"[9, 10, 11, 12, 13, 14]",0.5271812080536913,0.4091313189137,0.21568634295752442,0.32804331016451715,0.1729382685464619,0.2239434122667988,0.11805875861447683,0.20291034223488646,0.10697051934597539,0.21645384677822443,0.11411040043241295
245,"[10, 11, 12, 13]",0.5295302013422819,0.40714990515562133,0.21559817125354713,0.32620469373346594,0.17273523715147962,0.2230846113932341,0.11813003918742397,0.2022520223543522,0.10709855411918381,0.2156684614795723,0.1142029638304581
223,"[9, 10, 11, 12, 13]",0.5291946308724832,0.4070695356487768,0.21541901265708757,0.3260134143071758,0.17252454844376383,0.22275389087256836,0.11788016305571822,0.2018927706587566,0.10684057024458361,0.21532729292301667,0.11395004729516686
201,"[8, 9, 10, 11, 12, 13, 14]",0.526510067114094,0.4089722860283769,0.21532802576460514,0.3276611444043783,0.17251689113103008,0.22391704201795698,0.11789457682086393,0.20346371176442907,0.10712569253637222,0.21640638033030912,0.1139401378316292
152,"[6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5261744966442953,0.40889261744966443,0.21514886716814557,0.3274696959320641,0.17230620242331426,0.22422270921791537,0.1179802711589568,0.2037409259005616,0.10720327913157066,0.2167014792494179,0.11402279176613667
177,"[7, 8, 9, 10, 11, 12, 13, 14]",0.5261744966442953,0.40889261744966443,0.21514886716814557,0.3274696959320641,0.17230620242331426,0.22422270921791537,0.1179802711589568,0.2037409259005616,0.10720327913157066,0.2167014792494179,0.11402279176613667
200,"[8, 9, 10, 11, 12, 13]",0.5285234899328859,0.40690849046553745,0.21506069546416828,0.3256301267710663,0.172103171028332,0.2227261105784596,0.11771598126210532,0.2024427399595185,0.10699574343498042,0.21527857675508683,0.11377978469438313
176,"[7, 8, 9, 10, 11, 12, 13]",0.5281879194630873,0.40682781440010907,0.21488153686770864,0.3254381177353469,0.17189248232061613,0.22302985596479702,0.11780167560019816,0.20271824872295607,0.10707333003017883,0.2155718342529186,0.11386243862889057
151,"[6, 7, 8, 9, 10, 11, 12, 13]",0.5281879194630873,0.40682781440010907,0.21488153686770864,0.3254381177353469,0.17189248232061613,0.22302985596479702,0.11780167560019816,0.20271824872295607,0.10707333003017883,0.2155718342529186,0.11386243862889057
265,"[11, 12]",0.5439597315436242,0.3907710875298618,0.21256373586775368,0.31199793813579313,0.1697143146705103,0.21409416674602222,0.11645860546822216,0.19383821404469026,0.10544018287464528,0.2064981844830227,0.11232669699563082
126,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5181208053691275,0.4095402858434468,0.21219134273230936,0.3305725562471745,0.17127651907571728,0.22843916263866182,0.11835908292419257,0.2072634488993984,0.10738750506733931,0.22066018708488366,0.11432863384532227
125,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5201342281879194,0.4074410045464386,0.21192401243187242,0.3284975102836112,0.17086279897301923,0.22721151764451175,0.11818048736543396,0.20621130114743452,0.10725755596594748,0.21949772678068846,0.1141682807080762
244,"[10, 11, 12]",0.5422818791946309,0.39032826101402074,0.21166794288545554,0.3122582895873479,0.16933201207152826,0.21430909030500367,0.11621593621908924,0.19453452056615056,0.1054925453808387,0.20728038407867627,0.11240439619836942
222,"[9, 10, 11, 12]",0.5419463087248322,0.3902393666756706,0.21148878428899598,0.31206287530907806,0.16912132336381241,0.21398071768445986,0.11596606008738344,0.1941789432127496,0.10523456150623844,0.2069420491615933,0.11215147966307824
199,"[8, 9, 10, 11, 12]",0.5412751677852349,0.39006124733187153,0.21113046709607677,0.31167131985503693,0.16869994594838073,0.2139427137727441,0.11580187829377055,0.19470639144201685,0.10538973469663529,0.20688408359927934,0.11198121706229448
175,"[7, 8, 9, 10, 11, 12]",0.5409395973154363,0.38997202191616565,0.21095130849961713,0.31147517777740763,0.16848925724066482,0.21423385015071517,0.11588757263186338,0.19497060635835256,0.10546732129183367,0.20716522057721448,0.11206387099680194
150,"[6, 7, 8, 9, 10, 11, 12]",0.5409395973154363,0.38997202191616565,0.21095130849961713,0.31147517777740763,0.16848925724066482,0.21423385015071517,0.11588757263186338,0.19497060635835256,0.10546732129183367,0.20716522057721448,0.11206387099680194
243,"[10, 11]",0.5533557046979866,0.3762213015006044,0.2081842034142606,0.30038115432985624,0.16621762533219225,0.2061226857033549,0.11405916400162155,0.18662093357373394,0.10326775820908968,0.19880952865474705,0.1100123868294221
221,"[9, 10, 11]",0.553020134228188,0.37612562715840225,0.208005044817801,0.30018244608066713,0.16600693662447633,0.2057959210269108,0.11380928786991579,0.18626767446406461,0.10300977433448943,0.19847282856584342,0.10975947029413087
124,"[5, 6, 7, 8, 9, 10, 11, 12]",0.5328859060402684,0.39031579125319094,0.20799378406378094,0.3142503338799385,0.1674595738930679,0.2181825097628185,0.11626638439709924,0.19826297905431678,0.10565154722760235,0.21087011647760895,0.11236971307598757
99,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5100671140939598,0.40757682797598016,0.20789153641727848,0.33048392794065695,0.16856898337912704,0.2281835040621688,0.1163889014008378,0.207607735782409,0.10589387865411466,0.22079653832567991,0.11262105310571593
198,"[8, 9, 10, 11]",0.5523489932885906,0.3759339297218395,0.2076467276248818,0.29978430525088273,0.1655855592090446,0.20574873396560306,0.11364510607630289,0.18677493537312345,0.1031649475248863,0.1984057344630465,0.10958920769334715
98,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5120805369127517,0.40545225047718736,0.20762420611684157,0.3283765953890946,0.16815526327642896,0.226937556624768,0.11621030584207918,0.20653768680675888,0.10576392955272283,0.21961525944039334,0.11246069996846988
174,"[7, 8, 9, 10, 11]",0.552013422818792,0.3758379062034638,0.20746756902842214,0.2995848717896411,0.16537487050132874,0.20602904877501482,0.11373080041439577,0.18702902837559415,0.10324253412008469,0.19867607759939615,0.10967186162785458
149,"[6, 7, 8, 9, 10, 11]",0.552013422818792,0.3758379062034638,0.20746756902842214,0.2995848717896411,0.16537487050132874,0.20602904877501482,0.11373080041439577,0.18702902837559415,0.10324253412008469,0.19867607759939615,0.10967186162785458
71,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5090604026845638,0.4073270274694403,0.20735406062789963,0.32989585591484427,0.16793691725597945,0.22848057584511994,0.11631041394531777,0.20781633655262727,0.10579106796991126,0.22106108400100866,0.11253344443943965
