,Pattern,Relative SUP,local_interest_3,local_criterion_3,local_interest_5,local_criterion_5,local_interest_14,local_criterion_14,local_interest_18,local_criterion_18
0,"[1, 2]",0.9983542480970994,0,0,0,0,0,0,0.0004227125542010657,0.0004220168742106093
1,"[1, 2, 3]",0.13248302818350133,0,0,0,0,0,0,0.4420679781650822,0.05856650441026803
2,"[1, 3]",0.13248302818350133,0,0,0,0,0,0,0.4420679781650822,0.05856650441026803
3,"[2, 3]",0.1326740832303255,0,0,0,0,0,0,0.4419718573030154,0.058638210981281816
