,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
61,"[3, 4]",0.6879194630872483,-0.09310522989331302,0.0640488997588227
31,"[2, 3]",0.9177852348993288,-0.06330459291413355,0.05810002067790445
32,"[2, 3, 4]",0.6869127516778524,-0.06330459291413355,0.043484732112493756
478,"[29, 31]",0.36476510067114093,0.0696039086734825,0.025389076754387743
0,"[1, 2]",0.998993288590604,0.01860208717985772,0.018583360246455176
1,"[1, 2, 3]",0.9167785234899329,0.01860208717985772,0.01705399401858097
2,"[1, 2, 3, 4]",0.6865771812080537,0.01860208717985772,0.012771768580533185
90,"[4, 5]",0.6110738255033556,-0.020387478992575012,0.012458254780362112
62,"[3, 4, 5]",0.609731543624161,-0.020387478992575012,0.012430889036747918
33,"[2, 3, 4, 5]",0.6087248322147651,-0.020387478992575012,0.012410364729037273
3,"[1, 2, 3, 4, 5]",0.6083892617449664,0.01860208717985772,0.011317310086269142
326,"[14, 15]",0.5043624161073825,0.01860208717985772,0.009382193634673205
345,"[15, 16]",0.5043624161073825,0.01860208717985772,0.009382193634673205
327,"[14, 15, 16]",0.5016778523489933,0.01860208717985772,0.009332255145599763
118,"[5, 6]",0.587248322147651,0.015744944322714862,0.009246192135822486
91,"[4, 5, 6]",0.5775167785234899,0.015744944322714862,0.009092969523285999
63,"[3, 4, 5, 6]",0.5761744966442953,0.015744944322714862,0.00907183536983269
34,"[2, 3, 4, 5, 6]",0.5751677852348993,0.015744944322714862,0.009055984754742709
4,"[1, 2, 3, 4, 5, 6]",0.5748322147651007,0.015744944322714862,0.009050701216379383
306,"[13, 14]",0.5318791946308725,0.016084780697793528,0.008555160203356626
145,"[6, 7]",0.5855704697986577,0.014590625861806143,0.008543839640554269
119,"[5, 6, 7]",0.5761744966442953,0.014590625861806143,0.008406746511651393
92,"[4, 5, 6, 7]",0.5667785234899329,0.014590625861806143,0.008269653382748515
64,"[3, 4, 5, 6, 7]",0.5654362416107382,0.014590625861806143,0.008250068650048105
35,"[2, 3, 4, 5, 6, 7]",0.5644295302013422,0.014590625861806143,0.008235380100522795
5,"[1, 2, 3, 4, 5, 6, 7]",0.5640939597315436,0.014590625861806143,0.008230483917347695
307,"[13, 14, 15]",0.5043624161073825,0.016084780697793528,0.008112558855296534
308,"[13, 14, 15, 16]",0.5016778523489933,0.016084780697793528,0.008069378235973599
428,"[20, 21]",0.448993288590604,-0.016524968126569787,0.007419599783003481
414,"[19, 20, 21]",0.448993288590604,0.016364950714533335,0.007347753038941477
413,"[19, 20]",0.448993288590604,0.016364950714533335,0.007347753038941477
442,"[21, 22]",0.4332214765100671,-0.016524968126569787,0.00715897109107436
429,"[20, 21, 22]",0.4332214765100671,-0.016524968126569787,0.00715897109107436
415,"[19, 20, 21, 22]",0.4332214765100671,0.016364950714533335,0.007089648111564609
171,"[7, 8]",0.5832214765100671,0.011697599262711574,0.0068222911136217165
146,"[6, 7, 8]",0.5832214765100671,0.011697599262711574,0.0068222911136217165
120,"[5, 6, 7, 8]",0.5738255033557047,0.011697599262711574,0.006712380784978789
397,"[18, 19]",0.45,0.014887376927257421,0.00669931961726584
398,"[18, 19, 20]",0.448993288590604,0.014887376927257421,0.006684332325057191
399,"[18, 19, 20, 21]",0.448993288590604,0.014887376927257421,0.006684332325057191
93,"[4, 5, 6, 7, 8]",0.5644295302013422,0.011697599262711574,0.0066024704563358615
65,"[3, 4, 5, 6, 7, 8]",0.5630872483221476,0.011697599262711574,0.006586768980815443
36,"[2, 3, 4, 5, 6, 7, 8]",0.5620805369127517,0.011697599262711574,0.006574992874175131
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.561744966442953,0.011697599262711574,0.006571067505295025
400,"[18, 19, 20, 21, 22]",0.4332214765100671,0.014887376927257421,0.006449531413788365
614,"[80, 81]",0.23120805369127517,-0.024939277116223558,0.005766161722509407
363,"[16, 17]",0.46610738255033557,-0.01235543621827043,0.005758960035965647
346,"[15, 16, 17]",0.4657718120805369,-0.01235543621827043,0.0057548139164293145
328,"[14, 15, 16, 17]",0.46375838926174495,-0.01235543621827043,0.00572993719921132
309,"[13, 14, 15, 16, 17]",0.46375838926174495,-0.01235543621827043,0.00572993719921132
491,"[31, 35]",0.30134228187919465,0.01860208717985772,0.005605595398494038
480,"[29, 31, 35]",0.30134228187919465,0.01860208717985772,0.005605595398494038
380,"[17, 18]",0.45167785234899327,-0.01235543621827043,0.0055806768959033555
381,"[17, 18, 19]",0.45,-0.01235543621827043,0.0055599462982216935
382,"[17, 18, 19, 20]",0.448993288590604,-0.01235543621827043,0.005547507939612696
383,"[17, 18, 19, 20, 21]",0.448993288590604,-0.01235543621827043,0.005547507939612696
384,"[17, 18, 19, 20, 21, 22]",0.4332214765100671,-0.01235543621827043,0.005352640321405076
506,"[35, 36]",0.32583892617449667,0.015512488827643507,0.005054572701893237
564,"[73, 74]",0.2895973154362416,0.01744467977245031,0.005051932430746516
364,"[16, 17, 18]",0.4,-0.01235543621827043,0.004942174487308173
347,"[15, 16, 17, 18]",0.3996644295302013,-0.01235543621827043,0.00493802836777184
