,Pattern,Relative SUP,global_interest_3,global_criterion_3,global_interest_5,global_criterion_5,global_interest_14,global_criterion_14,global_interest_18,global_criterion_18
0,"[1, 2]",0.9979436561793131,0.0029497810561533166,0.0029437152921061166,0.0009126129569845681,0.0009107363109697942,0.00040130243519047315,0.0004004772194076426,0.00045012483142396753,0.0004491992200083311
1,"[1, 2, 3]",0.13242854205223115,0.0,0.0,0.628408808324845,0.0832192622992392,0.501567065501724,0.06642179522580924,0.4420953904423051,0.05854604800428635
2,"[1, 3]",0.13242854205223115,0.0,0.0,0.628408808324845,0.0832192622992392,0.501567065501724,0.06642179522580924,0.4420953904423051,0.05854604800428635
3,"[2, 3]",0.13242854205223115,0.0,0.0,0.628408808324845,0.0832192622992392,0.501567065501724,0.06642179522580924,0.4420953904423051,0.05854604800428635
