,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
0,"[1, 2]",0.9914893617021276,0,0,0,0,0,0,0.001034913097738413,0.0010261053266938307
123,"[11, 12, 13, 19, 20]",0.6405529953917051,0,0,0,0,0,0,0.212611477638166,0.13618891885578377
125,"[11, 12, 13, 19, 20, 21, 22]",0.46543778801843316,0,0,0,0,0,0,0.4399780991924077,0.20478243326466902
126,"[11, 12, 13, 19, 20, 21, 22, 23]",0.423963133640553,0,0,0,0,0,0,0.4778601482668804,0.20259508590116587
127,"[11, 12, 13, 19, 20, 21, 22, 23, 24]",0.423963133640553,0,0,0,0,0,0,0.4778601482668804,0.20259508590116587
128,"[11, 12, 13, 19, 20, 21, 22, 23, 24, 25]",0.423963133640553,0,0,0,0,0,0,0.4778601482668804,0.20259508590116587
129,"[11, 12, 13, 19, 20, 21, 22, 23, 24, 25, 26]",0.423963133640553,0,0,0,0,0,0,0.4778601482668804,0.20259508590116587
130,"[11, 12, 13, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.3686635944700461,0,0,0,0,0,0,0.6082949308755761,0.2242561957144981
131,"[12, 13]",0.9378238341968912,0,0,0,0,0,0,0.02919875189648763,0.027383285457327777
132,"[12, 13, 19]",0.8134715025906736,0,0,0,0,0,0,0.10098676611332963,0.08214985637198317
133,"[12, 13, 19, 20]",0.7253886010362695,0,0,0,0,0,0,0.16672834937083642,0.1209428441031974
134,"[12, 13, 19, 20, 21]",0.7202072538860104,0,0,0,0,0,0,0.17109628359488577,0.12322478455797473
135,"[12, 13, 19, 20, 21, 22]",0.5284974093264249,0,0,0,0,0,0,0.3929188255613127,0.2076565813847352
136,"[12, 13, 19, 20, 21, 22, 23]",0.48186528497409326,0,0,0,0,0,0,0.4305532341634632,0.2074686568766947
137,"[12, 13, 19, 20, 21, 22, 23, 24]",0.48186528497409326,0,0,0,0,0,0,0.4305532341634632,0.2074686568766947
138,"[12, 13, 19, 20, 21, 22, 23, 24, 25]",0.48186528497409326,0,0,0,0,0,0,0.4305532341634632,0.2074686568766947
139,"[12, 13, 19, 20, 21, 22, 23, 24, 25, 26]",0.48186528497409326,0,0,0,0,0,0,0.4305532341634632,0.2074686568766947
140,"[12, 13, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.41968911917098445,0,0,0,0,0,0,0.5595854922279793,0.23485194233402237
141,"[13, 19]",0.8674033149171271,0,0,0,0,0,0,0.071788014216842,0.0622691615030066
142,"[13, 19, 20]",0.7734806629834254,0,0,0,0,0,0,0.13752959747434879,0.10637648423430293
143,"[13, 19, 20, 21]",0.7679558011049724,0,0,0,0,0,0,0.14189753169839814,0.10897103263026156
144,"[13, 19, 20, 21, 22]",0.56353591160221,0,0,0,0,0,0,0.36372007366482506,0.20496932328073014
145,"[13, 19, 20, 21, 22, 23]",0.5138121546961326,0,0,0,0,0,0,0.40135448226697557,0.20622081133054546
124,"[11, 12, 13, 19, 20, 21]",0.6359447004608295,0,0,0,0,0,0,0.21699058304948915,0.13799401134022812
122,"[11, 12, 13, 19]",0.7188940092165899,0,0,0,0,0,0,0.14675646933711461,0.10550234662022986
1,"[1, 2, 3]",0.950354609929078,0,0,0,0,0,0,0.006298295755266206,0.0059856144057139835
121,"[11, 12, 13]",0.8294930875576036,0,0,0,0,0,0,0.0749615975422428,0.062180126993565454
100,"[9, 10]",0.7389937106918238,0,0,0,0,0,0,0.09440653017529776,0.06976583204778293
101,"[9, 10, 11]",0.4968553459119497,0,0,0,0,0,0,0.14409680757901439,0.07159526917447885
102,"[9, 10, 11, 12]",0.44339622641509435,0,0,0,0,0,0,0.19369731031714166,0.08588465646137414
103,"[9, 10, 11, 12, 13]",0.41509433962264153,0,0,0,0,0,0,0.2175528873642082,0.09030497211344492
104,"[9, 10, 11, 12, 13, 19]",0.36792452830188677,0,0,0,0,0,0,0.27971294952427034,0.10291325501364662
105,"[9, 10, 11, 12, 13, 19, 20]",0.3238993710691824,0,0,0,0,0,0,0.3540636258166942,0.11468098572050157
106,"[9, 10, 11, 12, 13, 19, 20, 21]",0.32075471698113206,0,0,0,0,0,0,0.36015538290788024,0.11552153791384838
107,"[9, 10, 11, 12, 13, 19, 20, 21, 22]",0.24213836477987422,0,0,0,0,0,0,0.5638732336845544,0.1365353427475179
108,"[10, 11]",0.9234042553191489,0,0,0,0,0,0,0.030002941464849442,0.027704843820733314
109,"[10, 11, 12]",0.8212765957446808,0,0,0,0,0,0,0.07871238011244619,0.06464463558171113
110,"[10, 11, 12, 13]",0.7659574468085106,0,0,0,0,0,0,0.10496453900709224,0.0803983703033047
111,"[10, 11, 12, 13, 19]",0.6638297872340425,0,0,0,0,0,0,0.17675941080196406,0.11733816206428252
112,"[10, 11, 12, 13, 19, 20]",0.5914893617021276,0,0,0,0,0,0,0.24261441910301546,0.14350384789497508
113,"[10, 11, 12, 13, 19, 20, 21]",0.5872340425531914,0,0,0,0,0,0,0.2469935245143386,0.14504300588501584
114,"[10, 11, 12, 13, 19, 20, 21, 22]",0.4297872340425532,0,0,0,0,0,0,0.46998104065725715,0.2019918515165233
115,"[10, 11, 12, 13, 19, 20, 21, 22, 23]",0.39148936170212767,0,0,0,0,0,0,0.5078630897317298,0.1988229968311453
116,"[10, 11, 12, 13, 19, 20, 21, 22, 23, 24]",0.39148936170212767,0,0,0,0,0,0,0.5078630897317298,0.1988229968311453
