,Pattern,Relative SUP,local_interest_17,local_criterion_17,local_interest_28,local_criterion_28,local_interest_77,local_criterion_77,local_interest_81,local_criterion_81,local_interest_78,local_criterion_78
417,"[19, 20, 21, 22, 28, 29]",0.7979120059656972,0,0,0,0,0,0,0,0,0.11567095756775592,0.09229524578486117
418,"[19, 20, 21, 22, 28, 29, 31]",0.7606263982102909,0,0,0,0,0,0,0,0,0.1384161415699271,0.10528297121649936
440,"[20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.3041853512705531,0,0,0,0,0,0,0,0,0.18063618191436848,0.0549468804477937
441,"[20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.23542600896860988,0,0,0,0,0,0,0,0,0.15962671682545726,0.03758028086697985
442,"[21, 22]",0.9648729446935725,0,0,0,0,0,0,0,0,0.01226659074192693,0.011835701530513953
471,"[28, 29, 31, 35, 36]",0.6203787195671776,0,0,0,0,0,0,0,0,0.11544743523332635,0.07162113204736567
464,"[22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.3423702556158017,0,0,0,0,0,0,0,0,0.17761916787997023,0.0608115199093314
465,"[22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.3152594887683966,0,0,0,0,0,0,0,0,0.16066464156199223,0.050651052761991354
466,"[22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.243996901626646,0,0,0,0,0,0,0,0,0.139655176473081,0.034075430355554236
467,"[28, 29]",0.9900811541929666,0,0,0,0,0,0,0,0,-0.0028877246875634865,0.002859081791654381
468,"[28, 29, 31]",0.9431920649233544,0,0,0,0,0,0,0,0,0.01940994506524185,0.018307306166134334
469,"[28, 29, 31, 32]",0.32822362488728585,0,0,0,0,0,0,0,0,-0.16321992712584427,0.05357263613508324
470,"[28, 29, 31, 35]",0.6203787195671776,0,0,0,0,0,0,0,0,0.11544743523332635,0.07162113204736567
472,"[28, 29, 31, 35, 36, 37]",0.5572587917042381,0,0,0,0,0,0,0,0,0.10312669782365669,0.05746825902165901
462,"[22, 28, 29, 31, 35, 36, 37, 38]",0.44461657629744383,0,0,0,0,0,0,0,0,0.19246543869553234,0.08557332440839316
473,"[28, 29, 31, 35, 36, 37, 38]",0.5266005410279531,0,0,0,0,0,0,0,0,0.09647580402765266,0.05080421059706866
474,"[28, 29, 31, 35, 36, 37, 38, 39]",0.47610459873760147,0,0,0,0,0,0,0,0,0.10241503054698953,0.04876026702327364
475,"[28, 29, 31, 35, 36, 37, 38, 39, 40]",0.40577096483318303,0,0,0,0,0,0,0,0,0.08007795456528699,0.032493308885824294
476,"[28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.37330928764652843,0,0,0,0,0,0,0,0,0.062441536114880014,0.023310005366600838
477,"[28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.2885482416591524,0,0,0,0,0,0,0,0,0.04472929704162465,0.01290656001201072
478,"[29, 31]",0.9899817850637522,0,0,0,0,0,0,0,0,-0.052103244816796734,0.051581263311346125
479,"[29, 31, 32]",0.35063752276867033,0,0,0,0,0,0,0,0,-0.24409791638900002,0.08558988871563299
463,"[22, 28, 29, 31, 35, 36, 37, 38, 39]",0.40201394268009294,0,0,0,0,0,0,0,0,0.1992387517152745,0.08009675611171763
461,"[22, 28, 29, 31, 35, 36, 37]",0.47095274980635166,0,0,0,0,0,0,0,0,0.19907669467119493,0.09375571677775872
443,"[21, 22, 28]",0.8288490284005979,0,0,0,0,0,0,0,0,0.10401457694901606,0.0862123810436912
451,"[21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.38789237668161436,0,0,0,0,0,0,0,0,0.21921029206765075,0.08503000118319189
444,"[21, 22, 28, 29]",0.7997010463378177,0,0,0,0,0,0,0,0,0.11444370931248815,0.09152075408397782
445,"[21, 22, 28, 29, 31]",0.7623318385650224,0,0,0,0,0,0,0,0,0.13718889331465933,0.10458346127126496
446,"[21, 22, 28, 29, 31, 32]",0.2615844544095665,0,0,0,0,0,0,0,0,-0.044330678319931316,0.011596216301925233
447,"[21, 22, 28, 29, 31, 35]",0.5052316890881914,0,0,0,0,0,0,0,0,0.23064080911614526,0.1165270455624172
448,"[21, 22, 28, 29, 31, 35, 36]",0.5052316890881914,0,0,0,0,0,0,0,0,0.23064080911614526,0.1165270455624172
449,"[21, 22, 28, 29, 31, 35, 36, 37]",0.45440956651718983,0,0,0,0,0,0,0,0,0.21904823502357118,0.0995376135234165
450,"[21, 22, 28, 29, 31, 35, 36, 37, 38]",0.4289985052316891,0,0,0,0,0,0,0,0,0.2124369790479086,0.09113514646748844
452,"[21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.3303437967115097,0,0,0,0,0,0,0,0,0.19759070823234648,0.0652728647523895
460,"[22, 28, 29, 31, 35, 36]",0.5236250968241674,0,0,0,0,0,0,0,0,0.210669268763769,0.11031171625430508
453,"[21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.3041853512705531,0,0,0,0,0,0,0,0,0.18063618191436848,0.0549468804477937
454,"[21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.23542600896860988,0,0,0,0,0,0,0,0,0.15962671682545726,0.03758028086697985
455,"[22, 28]",0.8590240123934935,0,0,0,0,0,0,0,0,0.08404303659663981,0.07219498651097873
456,"[22, 28, 29]",0.8288148721920992,0,0,0,0,0,0,0,0,0.0944721689601119,0.07829993864238555
457,"[22, 28, 29, 31]",0.7900852052672347,0,0,0,0,0,0,0,0,0.11721735296228308,0.09261169637608734
458,"[22, 28, 29, 31, 32]",0.2711076684740511,0,0,0,0,0,0,0,0,-0.06430221867230757,0.017432824581957898
459,"[22, 28, 29, 31, 35]",0.5236250968241674,0,0,0,0,0,0,0,0,0.210669268763769,0.11031171625430508
402,"[18, 19, 20, 21, 22, 28, 29]",0.7949479940564635,0,0,0,0,0,0,0,0,0.11770421433539835,0.09356872907791695
401,"[18, 19, 20, 21, 22, 28]",0.8239227340267459,0,0,0,0,0,0,0,0,0.10727508197192626,0.08838637883125276
400,"[18, 19, 20, 21, 22]",0.9591381872213968,0,0,0,0,0,0,0,0,0.015527095764837129,0.014892630484698912
350,"[15, 16, 17, 18, 19, 20, 21]",0.7877578176979375,0,0,0,0,0,0,0,0,0.07729160451461514,0.06088706569880528
343,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.2599369085173502,0,0,0,0,0,0,0,0,0.289849693820746,0.07534263334646521
344,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.23785488958990536,0,0,0,0,0,0,0,0,0.272127026347587,0.06472674380633457
345,"[15, 16]",1.0,0,0,0,0,0,0,0,0,-0.007475220222764645,0.007475220222764645
346,"[15, 16, 17]",0.9234863606121091,0,0,0,0,0,0,0,0,0.033474365822345864,0.03091312026707655
347,"[15, 16, 17, 18]",0.7924151696606786,0,0,0,0,0,0,0,0,0.0740407526490533,0.05867101557220391
348,"[15, 16, 17, 18, 19]",0.7897538256819694,0,0,0,0,0,0,0,0,0.07589379176846744,0.05993741239465792
349,"[15, 16, 17, 18, 19, 20]",0.7877578176979375,0,0,0,0,0,0,0,0,0.07729160451461514,0.06088706569880528
351,"[15, 16, 17, 18, 19, 20, 21, 22]",0.759148369926813,0,0,0,0,0,0,0,0,0.09811598264657895,0.07448458828991789
341,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.334384858044164,0,0,0,0,0,0,0,0,0.29977616440898125,0.10024061018092116
352,"[15, 16, 17, 18, 19, 20, 21, 22, 28]",0.6633399866932801,0,0,0,0,0,0,0,0,0.18189778303796844,0.12066007297994313
353,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29]",0.6393878908848969,0,0,0,0,0,0,0,0,0.19318496205695435,0.12352012544027487
354,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.6154357950765137,0,0,0,0,0,0,0,0,0.21238099845269076,0.13070686864187556
355,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 32]",0.20026613439787092,0,0,0,0,0,0,0,0,0.041248643064747736,0.008260706295734577
356,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.41916167664670656,0,0,0,0,0,0,0,0,0.29303872874406234,0.1228306048627806
357,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.41916167664670656,0,0,0,0,0,0,0,0,0.29303872874406234,0.1228306048627806
358,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.3745841650033267,0,0,0,0,0,0,0,0,0.28114078025347355,0.10531088441963116
342,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.3041009463722397,0,0,0,0,0,0,0,0,0.3106458910875314,0.094467709466366
340,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.35457413249211356,0,0,0,0,0,0,0,0,0.30600573957238,0.10850171964648425
360,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.3213572854291417,0,0,0,0,0,0,0,0,0.2858369282939498,0.09185577935194794
330,"[14, 15, 16, 17, 18, 19]",0.7463722397476341,0,0,0,0,0,0,0,0,0.10137132726751319,0.07566074457884424
323,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.30333543108873506,0,0,0,0,0,0,0,0,0.3118116342785945,0.09458351650238046
324,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.2592825676526117,0,0,0,0,0,0,0,0,0.2910154370118091,0.07545522973496875
325,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.23725613593455003,0,0,0,0,0,0,0,0,0.2732927695386501,0.06484038647959163
326,"[14, 15]",0.9482649842271293,0,0,0,0,0,0,0,0,0.017789917220540186,0.016869555572537477
327,"[14, 15, 16]",0.943217665615142,0,0,0,0,0,0,0,0,0.018341742105858094,0.01730025517240243
328,"[14, 15, 16, 17]",0.8719242902208202,0,0,0,0,0,0,0,0,0.0595393518621804,0.051913807112639314
329,"[14, 15, 16, 17, 18]",0.7488958990536277,0,0,0,0,0,0,0,0,0.09951148275378219,0.07452374134305328
331,"[14, 15, 16, 17, 18, 19, 20]",0.7444794952681388,0,0,0,0,0,0,0,0,0.10277430028304924,0.07651335920126064
339,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.39621451104100947,0,0,0,0,0,0,0,0,0.3191791238820395,0.12646340050342006
332,"[14, 15, 16, 17, 18, 19, 20, 21]",0.7444794952681388,0,0,0,0,0,0,0,0,0.10277430028304924,0.07651335920126064
333,"[14, 15, 16, 17, 18, 19, 20, 21, 22]",0.717981072555205,0,0,0,0,0,0,0,0,0.12317461177075861,0.08843703987074025
334,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28]",0.6271293375394322,0,0,0,0,0,0,0,0,0.2071734830027584,0.1299245691512567
335,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29]",0.604416403785489,0,0,0,0,0,0,0,0,0.2184954959869838,0.1320622619277795
336,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.5817034700315458,0,0,0,0,0,0,0,0,0.23775418331210274,0.1383024334471664
337,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 32]",0.1892744479495268,0,0,0,0,0,0,0,0,0.06496132263068577,0.012295518478994152
338,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.39621451104100947,0,0,0,0,0,0,0,0,0.3191791238820395,0.12646340050342006
