,Pattern,Relative SUP,global_interest_11,global_criterion_11,global_interest_24,global_criterion_24,global_interest_28,global_criterion_28,global_interest_32,global_criterion_32
146,"[5, 6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
44,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
239,"[8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
268,"[9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
113,"[4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
209,"[7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
178,"[6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
79,"[3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0.3991771965912431,0.21549077929803692,0.2564159075325693,0.1384228964240862,0.2356254285434421,0.12719941833564677,0.2148349495543148,0.11597594024720734
145,"[5, 6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
78,"[3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
43,"[2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
238,"[8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
208,"[7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
207,"[7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
77,"[3, 4, 5, 6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
177,"[6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
111,"[4, 5, 6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
112,"[4, 5, 6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
176,"[6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
144,"[5, 6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
42,"[2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,0.3837783229903306,0.21092207019631176,0.24652426997642768,0.13548813536915863,0.22653581565401454,0.12450261087976733,0.2065473613316015,0.11351708639037611
41,"[2, 3, 4, 5, 6, 7]",0.5642276422764227,0.3616784986293668,0.20406900654372404,0.23232820224455847,0.13108599378676714,0.21349078044094566,0.1204573996959482,0.1946533586373328,0.10982880560512923
110,"[4, 5, 6, 7]",0.5642276422764227,0.3616784986293668,0.20406900654372404,0.23232820224455847,0.13108599378676714,0.21349078044094566,0.1204573996959482,0.1946533586373328,0.10982880560512923
