,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
37,"[1, 3]",0.975609756097561,-0.16916666666666666,0.16504065040650406
703,"[2, 3]",0.975609756097561,-0.15697154471544716,0.15314297045409478
1371,"[3, 4, 6]",0.5658536585365853,0.22471592499300308,0.12715632828872367
1439,"[3, 6, 7]",0.5658536585365853,0.21597701149425286,0.12221138211382111
1372,"[3, 4, 7]",0.5658536585365853,0.21513738093170037,0.12173627408818166
1370,"[3, 4, 5]",0.6439024390243903,0.18431188458896267,0.11867887202801498
1,"[1, 2, 3]",0.975609756097561,-0.1209078590785908,0.11795888690594224
1369,"[3, 4]",0.6455284552845528,0.16790722082283793,0.10838888888888887
1405,"[3, 5, 6]",0.5658536585365853,0.18515151515151515,0.10476866223207686
1406,"[3, 5, 7]",0.5658536585365853,0.17557297109021244,0.09934860803153484
39,"[1, 3, 5]",0.6439024390243903,-0.15318181818181817,0.0986341463414634
1438,"[3, 6]",0.5658536585365853,0.16916666666666666,0.09572357723577235
1503,"[3, 8]",0.5495934959349593,-0.16916666666666666,0.09297289972899728
1506,"[3, 8, 11]",0.4682926829268293,-0.19379629629629627,0.09075338753387534
705,"[2, 3, 5]",0.6439024390243903,-0.13692165558019218,0.08816418798334326
1534,"[3, 9]",0.5495934959349593,-0.16029092702169623,0.08809485094850947
1471,"[3, 7]",0.5658536585365853,0.15479885057471263,0.08759349593495933
1505,"[3, 8, 10]",0.5398373983739837,-0.156954484605087,0.08472990063233965
44,"[1, 3, 10]",0.5398373983739837,-0.156954484605087,0.08472990063233965
1407,"[3, 5, 8]",0.5495934959349593,-0.15318181818181817,0.08418773096821876
1535,"[3, 9, 10]",0.5398373983739837,-0.1451201650784598,0.07834129236755878
1447,"[3, 6, 15]",0.34471544715447155,0.22555555555555556,0.07775248419150858
1675,"[3, 14, 15]",0.34471544715447155,0.22555555555555556,0.07775248419150858
1446,"[3, 6, 14]",0.34471544715447155,0.22555555555555556,0.07775248419150858
1408,"[3, 5, 9]",0.5495934959349593,-0.14134749865519095,0.07768366592756835
1445,"[3, 6, 13]",0.3463414634146341,0.22399061032863848,0.07757723577235771
1379,"[3, 4, 14]",0.34471544715447155,0.22471592499300308,0.07746305056669375
1380,"[3, 4, 15]",0.34471544715447155,0.22471592499300308,0.07746305056669375
1378,"[3, 4, 13]",0.3463414634146341,0.223150979766086,0.07728643689459563
1444,"[3, 6, 12]",0.3544715447154472,0.2179102956167176,0.07724299909665762
1649,"[3, 13, 14]",0.34471544715447155,0.22399061032863848,0.07721302339783961
1650,"[3, 13, 15]",0.34471544715447155,0.22399061032863848,0.07721302339783961
1377,"[3, 4, 12]",0.3544715447154472,0.21707066505416517,0.07694537395415936
2038,"[4, 6, 11]",0.4682926829268293,0.16119740647448455,0.07548756595878302
1623,"[3, 12, 14]",0.34471544715447155,0.2179102956167176,0.07511704499307989
1624,"[3, 12, 15]",0.34471544715447155,0.2179102956167176,0.07511704499307989
1622,"[3, 12, 13]",0.3463414634146341,0.21634535038980057,0.07492936525695532
1479,"[3, 7, 15]",0.34471544715447155,0.21597701149425286,0.07445061209232781
1478,"[3, 7, 14]",0.34471544715447155,0.21597701149425286,0.07445061209232781
1477,"[3, 7, 13]",0.3463414634146341,0.21441206626733578,0.07425978880478458
1476,"[3, 7, 12]",0.3544715447154472,0.20833175155541492,0.07384767778712269
38,"[1, 3, 4]",0.6455284552845528,-0.11361740834033025,0.07334327009936766
