,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
451,"[16, 17, 18]",0.8066037735849056,0,0,0,0,0,0,0.023253889440582598,0.018756674973300115
460,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.7264150943396226,0,0,0,0,0,0,0.1000367556971331,0.07266820932716272
452,"[16, 17, 18, 19]",0.7971698113207547,0,0,0,0,0,0,0.03218153399575763,0.025654147383410562
453,"[16, 17, 18, 19, 20]",0.7971698113207547,0,0,0,0,0,0,0.03218153399575763,0.025654147383410562
454,"[16, 17, 18, 19, 20, 21]",0.7877358490566038,0,0,0,0,0,0,0.04132301434866126,0.0325516197935209
455,"[16, 17, 18, 19, 20, 21, 22]",0.7877358490566038,0,0,0,0,0,0,0.04132301434866126,0.0325516197935209
456,"[16, 17, 18, 19, 20, 21, 22, 23]",0.7877358490566038,0,0,0,0,0,0,0.04132301434866126,0.0325516197935209
457,"[16, 17, 18, 19, 20, 21, 22, 23, 24]",0.7311320754716981,0,0,0,0,0,0,0.10112598904443104,0.07393645425418308
458,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.7264150943396226,0,0,0,0,0,0,0.1000367556971331,0.07266820932716272
459,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.7264150943396226,0,0,0,0,0,0,0.1000367556971331,0.07266820932716272
482,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.6896551724137931,0,0,0,0,0,0,0.15073891625615776,0.1039578732801088
484,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.625615763546798,0,0,0,0,0,0,0.17346107598619132,0.10851998349875024
440,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
516,"[20, 21, 22, 23, 24, 25]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
508,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
509,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
510,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.6119402985074627,0,0,0,0,0,0,0.2288557213930349,0.14004603846439448
