,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
703,"[2, 3]",0.975609756097561,-0.1463931361876135,0.1428225718903546
37,"[1, 3]",0.975609756097561,-0.13419801423639396,0.13092489193794532
1404,"[3, 5]",0.6439024390243903,-0.19480407484245457,0.12543481892294636
1593,"[3, 11]",0.4682926829268293,-0.2557257920141717,0.11975451723590481
1564,"[3, 10]",0.5398373983739837,-0.20046307447735784,0.10821746459590699
1565,"[3, 10, 11]",0.4682926829268293,-0.2030043506933328,0.09506545203199976
1410,"[3, 5, 11]",0.4682926829268293,-0.199231684270064,0.09329873995085924
1409,"[3, 5, 10]",0.5398373983739837,-0.16238987257885473,0.08766412633525165
1369,"[3, 4]",0.6455284552845528,-0.1354574600802227,0.08744164496235514
1471,"[3, 7]",0.5658536585365853,-0.148565830328348,0.0840665186248213
1,"[1, 2, 3]",0.975609756097561,-0.0859392066483181,0.08384312843738351
705,"[2, 3, 5]",0.6439024390243903,-0.1263432470523585,0.08135272493127474
1475,"[3, 7, 11]",0.4682926829268293,-0.16840618792732628,0.07886338556596743
1534,"[3, 9]",0.5495934959349593,-0.14307375388136437,0.078632404572197
711,"[2, 3, 11]",0.4682926829268293,-0.1669577251668366,0.07818508105373811
1536,"[3, 9, 11]",0.4682926829268293,-0.1647448036293372,0.07714878608983596
1370,"[3, 4, 5]",0.6439024390243903,-0.11905279631409796,0.07665838591932161
39,"[1, 3, 5]",0.6439024390243903,-0.11821316575154547,0.07611774575221465
1438,"[3, 6]",0.5658536585365853,-0.13419801423639396,0.07593643732400829
1376,"[3, 4, 11]",0.4682926829268293,-0.15966727442857606,0.07477101631777221
1443,"[3, 6, 11]",0.4682926829268293,-0.15882764386602358,0.07437782346896714
1506,"[3, 8, 11]",0.4682926829268293,-0.15882764386602358,0.07437782346896714
45,"[1, 3, 11]",0.4682926829268293,-0.15882764386602358,0.07437782346896714
1503,"[3, 8]",0.5495934959349593,-0.13419801423639396,0.0737543557917092
1977,"[3, 38]",0.23902439024390243,-0.3033646809030606,0.07251155787439009
1406,"[3, 5, 7]",0.5658536585365853,-0.12779170981284818,0.07231140652824579
5079,"[10, 11]",0.4682926829268293,-0.15282418558846894,0.0715664478853318
1474,"[3, 7, 10]",0.5398373983739837,-0.13156437623611703,0.07102337058600137
710,"[2, 3, 10]",0.5398373983739837,-0.13011591347562732,0.07024143621773701
1535,"[3, 9, 10]",0.5398373983739837,-0.12790299193812793,0.06904681841212759
2749,"[5, 11]",0.4682926829268293,-0.1471651859535657,0.06891637976362101
1408,"[3, 5, 9]",0.5495934959349593,-0.12413032551485909,0.06822121955125589
1405,"[3, 5, 6]",0.5658536585365853,-0.11821316575154547,0.06689135232770377
1375,"[3, 4, 10]",0.5398373983739837,-0.1228254627373668,0.06630577825822077
1442,"[3, 6, 10]",0.5398373983739837,-0.12198583217481432,0.06585251427973715
1505,"[3, 8, 10]",0.5398373983739837,-0.12198583217481432,0.06585251427973715
44,"[1, 3, 10]",0.5398373983739837,-0.12198583217481432,0.06585251427973715
1407,"[3, 5, 8]",0.5495934959349593,-0.11821316575154547,0.06496918703093069
2721,"[5, 10, 11]",0.4682926829268293,-0.13063061331959547,0.06117336038381056
1619,"[3, 11, 38]",0.23902439024390243,-0.2557257920141717,0.06112470150582641
1598,"[3, 11, 16]",0.34471544715447155,-0.17297858726225002,0.059628391056255295
1594,"[3, 11, 12]",0.3544715447154472,-0.1664729038048615,0.05900990736497529
1604,"[3, 11, 23]",0.3235772357723577,-0.1822782301306802,0.05898108584716318
704,"[2, 3, 4]",0.6455284552845528,-0.08677883721087058,0.05601820873612296
1608,"[3, 11, 27]",0.3008130081300813,-0.1858546708930506,0.05590750262636482
1595,"[3, 11, 13]",0.3463414634146341,-0.16039258909294063,0.05555060402731114
1842,"[3, 23]",0.3235772357723577,-0.1693738936333789,0.05480553631389008
1596,"[3, 11, 14]",0.34471544715447155,-0.15882764386602358,0.05475034227576748
1597,"[3, 11, 15]",0.34471544715447155,-0.15882764386602358,0.05475034227576748
707,"[2, 3, 7]",0.5658536585365853,-0.09551775070962079,0.05404906869422444
1723,"[3, 16]",0.34471544715447155,-0.15542442933073358,0.05357720165547239
1601,"[3, 11, 20]",0.32682926829268294,-0.16214439345142986,0.05299353346949171
1900,"[3, 27]",0.3008130081300813,-0.1747385547769345,0.05256363029875266
1599,"[3, 11, 17]",0.3300813008130081,-0.15882764386602358,0.052426035292362255
1600,"[3, 11, 19]",0.32682926829268294,-0.15882764386602358,0.051909522629383316
1621,"[3, 12]",0.3544715447154472,-0.14566590414465086,0.05163441805452665
1603,"[3, 11, 22]",0.3235772357723577,-0.15882764386602358,0.05139300996640437
1602,"[3, 11, 21]",0.3235772357723577,-0.15882764386602358,0.05139300996640437
1473,"[3, 7, 9]",0.5495934959349593,-0.09330482917212138,0.05127972725232036
38,"[1, 3, 4]",0.6455284552845528,-0.07864875591005756,0.0507700099126713
