,Pattern,Relative SUP,local_interest_17,local_criterion_17,local_interest_28,local_criterion_28,local_interest_77,local_criterion_77,local_interest_81,local_criterion_81,local_interest_78,local_criterion_78
2919,"[3, 16, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2595,"[3, 8, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2550,"[3, 7, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2765,"[3, 12, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2504,"[3, 6, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2409,"[3, 4, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2682,"[3, 10, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2724,"[3, 11, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2805,"[3, 13, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2882,"[3, 15, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2457,"[3, 5, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2990,"[3, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2639,"[3, 9, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2844,"[3, 14, 18]",0.4919590643274854,0.4923245614035088,0.2422035305735098,0.4226753537205374,0.20793897153064447,0.2799118775409739,0.1377051853692072,0.2539780298593605,0.12494679392934914,0.2701866846603688,0.1329207885792604
2458,"[3, 5, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2806,"[3, 13, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2991,"[3, 18, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2766,"[3, 12, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2596,"[3, 8, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2683,"[3, 10, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2410,"[3, 4, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2505,"[3, 6, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
3025,"[3, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
2845,"[3, 14, 19]",0.4901315789473684,0.4923245614035088,0.2413038146352724,0.42569069097847795,0.20864445051247768,0.28194412500053245,0.13818971916144518,0.255820001874071,0.12538546144485715,0.2721475788281093,0.13338812251772464
