,Pattern,Relative SUP,global_interest_3,global_criterion_3,global_interest_5,global_criterion_5,global_interest_14,global_criterion_14,global_interest_18,global_criterion_18
0,"[1, 2]",0.9979436561793131,0.00027287974871673115,0.0002723186141316669,0.0001936429272725998,0.00019324473083568306,-5.055054972345763e-05,5.044660041290147e-05,0.00013728732699413992,0.00013700501704761692
1,"[1, 2, 3]",0.1293440263212009,0.0,0.0,0.6214463910512102,0.08038037836134304,0.49845904982530886,0.06447270046064554,0.4421184983655499,0.0571853866896835
2,"[2, 3]",0.13242854205223115,0.0,0.0,0.615652416587159,0.08152995193957031,0.4928551631472533,0.06526809069850528,0.4364800502718588,0.057802416692386824
